,Name,Class,SMILES,Class2,Calories,Sweetness,Origin,Approval,Therapeutic effect,Metabolism,Therapeutic annotation,Formula,Molweight,Atoms,Heavy Atoms,Rings,Bonds,Rotatable Bonds,H-bond Donors,H-bond Acceptors
0,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS, 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
1,lactitol,carbohydrates,O1[C@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,"0,4",natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
2,CALCIUM CYCLAMATE,Hydrocarbons,[Ca].S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,30-50,artificial,"INS 952, E 952",does not promote tooth decay,"generally absorbed from the gut und excreted unchanged by the the kidneys, metabolised by  bacteria in lower gut by some individuals",sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>2</sub>CaNO<sub>3</sub>S,218.307,12.0,12.0,1.0,11.0,2.0,1.0,4.0
3,Invertogen,carbohydrates,OC(C(O)C(O)C=O)C(O)CO.OC(C(O)CO)C(O)C(=O)CO,Monosaccharides,,,natural,,,,"sweetening agents, cariogenic agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>2</sub>,360.312,24.0,24.0,0.0,22.0,10.0,10.0,12.0
4,aspartame,"Amino acid, Pep, Prot",O(C(=O)C(NC(=O)C(N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
5,Saccharin calcium,other,[Ca+2].S1(=O)(=O)N=C([O-])c2c1cccc2.S1(=O)(=O)N=C([O-])c2c1cccc2.O,Saccharines,,,artificial,,,,,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>0</sub>CaN<sub>2</sub>O<sub>7</sub>S<sub>2</sub>,422.446,26.0,26.0,4.0,26.0,0.0,1.0,9.0
6,Assugrin, Hydrocarbons,S(=O)(=O)([O-])NC1CCCCC1.[Na+],Cyclamat-like,,,artificial,,,,sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>2</sub>NNaO<sub>3</sub>S,201.219,12.0,12.0,1.0,11.0,2.0,1.0,4.0
7,saccharin,other,S1(=O)(=O)N=C([O-])c2c1cccc2.[Na+],Saccharines,,300,artificial,"INS 954, E 954",does not promote tooth decay,"absorbed, not metabolised, excreted unchanged in the kidneys",,C<sub>7</sub>H<sub>4</sub>NNaO<sub>3</sub>S,205.166,13.0,13.0,2.0,13.0,0.0,0.0,4.0
8,Cyclamate potassium,Hydrocarbons,[K+].S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,50,artificial,"INS 952, E 952",does not promote tooth decay,"generally absorbed from the gut und excreted unchanged by the the kidneys, metabolised by  bacteria in lower gut by some individuals",sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>2</sub>KNO<sub>3</sub>S,217.328,12.0,12.0,1.0,11.0,2.0,1.0,4.0
9,SACCHARIN SODIUM,other,S1(=O)(=O)N=C([O-])c2c1cccc2.[Na+].O.O,Saccharines,,,artificial,,,,,C<sub>7</sub>H<sub>8</sub>NNaO<sub>5</sub>S,241.197,15.0,15.0,2.0,13.0,0.0,2.0,6.0
10,Saccharin calcium,other,[Ca+2].S1(=O)(=O)N=C([O-])c2c1cccc2.S1(=O)(=O)N=C([O-])c2c1cccc2.O.O.O.O.O.O.O,Saccharines,,,artificial,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>2</sub>CaN<sub>2</sub>O<sub>1</sub><sub>3</sub>S<sub>2</sub>,530.538,32.0,32.0,4.0,26.0,0.0,7.0,15.0
11,Cristallose,Sulfur Compounds,S1(=O)(=O)NC(=O)c2c1cccc2.[Na],Saccharines,,,artificial,,,,sweetening agents,C<sub>7</sub>H<sub>5</sub>NNaO<sub>3</sub>S,206.174,13.0,13.0,2.0,13.0,0.0,1.0,4.0
12,Assugrin,Hydrocarbons,S(=O)(=O)(O)NC1CCCCC1.[Na],Cyclamat-like,,,artificial,,,,sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>3</sub>NNaO<sub>3</sub>S,202.227,12.0,12.0,1.0,11.0,2.0,2.0,4.0
13,lactitol,carbohydrates,O1[C@@H](OC(C(O)C(O)CO)C(O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,"0,4",natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
14,Lactitol monohydrate,carbohydrates,O1[C@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO.O,Sugar Alcohols,,,natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>6</sub>O<sub>1</sub><sub>2</sub>,362.328,24.0,24.0,1.0,23.0,8.0,10.0,12.0
15,Sucaryl,other,S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,30,artificial,,,,,C<sub>6</sub>H<sub>1</sub><sub>2</sub>NO<sub>3</sub>S,178.229,11.0,11.0,1.0,11.0,2.0,1.0,4.0
16,saccharin,other,S1(=O)(=O)N=C([O-])c2c1cccc2,Saccharines,,300,artificial,,,,,C<sub>7</sub>H<sub>4</sub>NO<sub>3</sub>S,182.177,12.0,12.0,2.0,13.0,0.0,0.0,4.0
17,Stevioside,other,O([C@@]12C[C@@]3(C([C@@]4(C(CC3)[C@](CCC4)(C)C(=O)OC3OC(C(O)C(O)C3O)CO)C)CC1)CC2=C)C1OC(C(O)C(O)C1O)COC1OC(C(O)C(O)C1O)CO,Steviol glycosides,,200-300,natural,INS 960,,excreted in the urine as steviol glucoronide,,C<sub>3</sub><sub>8</sub>H<sub>6</sub><sub>0</sub>O<sub>1</sub><sub>8</sub>,804.872,56.0,56.0,7.0,62.0,10.0,11.0,18.0
18,saccharin,other,[Ca+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.O,Saccharines,,300,artificial,,,,,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>0</sub>CaN<sub>2</sub>O<sub>7</sub>S<sub>2</sub>,422.446,26.0,26.0,4.0,26.0,0.0,1.0,7.0
19,maltitol,DiSaccharide,O1[C@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Sugar Alcohols,,,natural,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
20,Sucralose,other,ClC1C(O)C(O)C(OC2(OC(C(O)C2O)CCl)CCl)OC1CO,Disaccharides,,600,artificial,"INS 955, E955","synergistic sweetening effect, does not promote tooth decay",,,C<sub>1</sub><sub>2</sub>H<sub>1</sub><sub>9</sub>Cl<sub>3</sub>O<sub>8</sub>,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0
21,saccharin,other,S1(=O)(=O)NC(=O)c2c1cccc2,Saccharines,,300,artificial,,,,,C<sub>7</sub>H<sub>5</sub>NO<sub>3</sub>S,183.184,12.0,12.0,2.0,13.0,0.0,1.0,4.0
22,Sucredulcor,other,S1(=O)(=O)[N-]C(=O)c2c1cccc2.[Na+].O.O,Saccharines,,,artificial,,,,,C<sub>7</sub>H<sub>8</sub>NNaO<sub>5</sub>S,241.197,15.0,15.0,2.0,13.0,0.0,2.0,5.0
23,Calcium saccharin,Sulfur Compounds,[Ca+2].S1(=O)(=O)N=C([O-])c2c1cccc2.S1(=O)(=O)N=C([O-])c2c1cccc2,Saccharines,,,artificial,,,,nonnutritive sweetener,C<sub>1</sub><sub>4</sub>H<sub>8</sub>CaN<sub>2</sub>O<sub>6</sub>S<sub>2</sub>,404.431,25.0,25.0,4.0,26.0,0.0,0.0,8.0
24,Cristallose,Sulfur Compounds,S1(=O)(=O)[N-]C(=O)c2c1cccc2.[Na+],Saccharines,,,artificial,,,,sweetening agents,C<sub>7</sub>H<sub>4</sub>NNaO<sub>3</sub>S,205.166,13.0,13.0,2.0,13.0,0.0,0.0,3.0
25,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@H](NC(=O)[C@H](N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
26,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@@H](NC(=O)[C@H](N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
27,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
28,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@@H](NC(=O)[C@@H]([NH3+])CC(=O)[O-])Cc1ccccc1)C,Aspartames,0-50 ,140 - 180,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,2.0,6.0
29,lactitol,carbohydrates,O1[C@H](O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,"0,4",natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
30,Sucralose,other,Cl[C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@]2(O[C@@H]([C@@H](O)[C@@H]2O)CCl)CCl)O[C@@H]1CO,Disaccharides,,600,artificial,"INS 955, E955","synergistic sweetening effect, does not promote tooth decay",,,C<sub>1</sub><sub>2</sub>H<sub>1</sub><sub>9</sub>Cl<sub>3</sub>O<sub>8</sub>,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0
31,lactitol,carbohydrates,O1[C@@H](O[C@H]([C@H](O)[C@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,"0,4",natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
