,bcute1,bcute10,bcute11,bcute12,bcute13,bcute14,bcute15,bcute16,bcute2,bcute3,bcute4,bcute5,bcute6,bcute7,bcute8,bcute9,bcutm1,bcutm10,bcutm11,bcutm12,bcutm13,bcutm14,bcutm15,bcutm16,bcutm2,bcutm3,bcutm4,bcutm5,bcutm6,bcutm7,bcutm8,bcutm9,bcutp1,bcutp10,bcutp11,bcutp12,bcutp13,bcutp14,bcutp15,bcutp16,bcutp2,bcutp3,bcutp4,bcutp5,bcutp6,bcutp7,bcutp8,bcutp9
0,3.91,1.036,0.89,0.348,0.235,0.0,0.0,0.0,3.319,3.072,2.56,2.444,1.522,1.326,1.326,1.845,3.984,1.101,1.012,0.511,0.421,0.0,0.0,0.0,3.437,3.226,2.85,2.431,1.941,1.331,1.331,1.896,3.816,1.488,1.235,0.767,0.537,0.0,0.0,0.0,2.938,2.776,2.144,2.132,1.283,0.84,0.531,1.969
1,3.887,1.05,0.823,0.438,0.0,0.0,0.0,0.0,3.215,2.914,2.633,2.199,1.947,1.779,1.366,1.839,3.8550000190734863,1.1619999408721924,1.0190000534057617,0.7260000109672546,0.5270000100135803,0.35600000619888306,0.22100000083446503,0.057999998331069946,3.177000045776367,2.815000057220459,2.5250000953674316,1.9639999866485596,1.718999981880188,1.4980000257492065,0.7390000224113464,1.909999966621399,3.806,1.354,1.101,0.885,0.562,0.338,0.158,0.0,2.963,2.709,2.265,1.605,1.316,1.19,0.923,1.94
2,3.783,1.197,0.901,0.509,0.077,0.025,0.0,0.0,3.249,3.068,2.688,2.275,2.231,1.832,1.783,1.687,3.700000047683716,1.4670000076293945,1.1690000295639038,0.8889999985694885,0.6159999966621399,0.5450000166893005,0.38499999046325684,0.3569999933242798,3.1029999256134033,2.9560000896453857,2.510999917984009,2.063999891281128,1.937000036239624,1.4889999628067017,1.3250000476837158,1.8480000495910645,3.5929999351501465,1.4609999656677246,1.2910000085830688,0.9890000224113464,0.6570000052452087,0.6269999742507935,0.3050000071525574,0.2809999883174896,3.0350000858306885,2.7190001010894775,2.243000030517578,1.6779999732971191,1.6490000486373901,1.2050000429153442,1.194000005722046,1.906999945640564
3,3.885,1.055,0.811,0.444,0.0,0.0,0.0,0.0,3.243,2.859,2.646,2.222,1.945,1.814,1.281,1.839,3.85,1.138,1.048,0.725,0.525,0.398,0.2,0.0,3.216,2.745,2.544,1.986,1.721,1.511,0.713,1.91,3.806,1.375,1.054,0.889,0.596,0.337,0.216,0.0,2.977,2.686,2.272,1.597,1.342,1.223,0.856,1.939
4,3.894,1.052,0.904,0.527,0.162,0.0,0.0,0.0,3.216,2.97,2.69,2.27,1.962,1.851,1.377,1.851,3.8589999675750732,1.1990000009536743,1.1230000257492065,0.8410000205039978,0.6050000190734863,0.39500001072883606,0.2240000069141388,0.07000000029802322,3.177999973297119,2.8440001010894775,2.558000087738037,2.0320000648498535,1.7200000286102295,1.5839999914169312,0.7509999871253967,1.9240000247955322,3.816,1.354,1.209,0.958,0.599,0.355,0.198,0.0,2.964,2.759,2.318,1.825,1.4,1.216,0.95,1.951
5,3.659,0.966,0.528,0.23,0.0,0.0,0.0,0.0,3.23,2.759,2.349,1.964,1.894,1.587,0.941,1.543,4.2,1.016,0.861,0.572,0.419,0.064,0.0,0.0,3.401,2.636,2.038,1.741,1.716,1.098,0.339,1.651,3.572,1.254,1.053,0.731,0.367,0.197,0.072,0.0,3.031,2.288,1.908,1.314,1.23,1.077,0.38,1.744
6,3.597,1.065,0.508,0.096,0.0,0.0,0.0,0.0,3.194,2.636,2.13,1.899,1.762,0.941,0.941,1.552,3.484,1.333,0.891,0.651,0.534,0.087,0.0,0.0,3.068,2.394,1.765,1.623,1.2,0.083,0.083,1.784,3.423,1.42,0.971,0.582,0.339,0.221,0.0,0.0,2.879,2.217,1.671,1.363,1.186,0.38,0.38,1.76
7,3.875,1.264,0.799,0.684,0.182,0.0,0.0,0.0,3.378,2.846,2.769,2.313,1.971,1.859,1.515,1.855,3.821000099182129,1.4359999895095825,1.0820000171661377,0.8709999918937683,0.6460000276565552,0.44600000977516174,0.3109999895095825,0.08799999952316284,3.319000005722046,2.7739999294281006,2.617000102996826,2.0409998893737793,1.722000002861023,1.5779999494552612,0.9399999976158142,1.9539999961853027,3.812000036239624,1.5210000276565552,1.031000018119812,0.9660000205039978,0.6899999976158142,0.36399999260902405,0.23800000548362732,0.057999998331069946,3.1570000648498535,2.6610000133514404,2.572000026702881,1.8569999933242798,1.4270000457763672,1.1959999799728394,1.121000051498413,1.9390000104904175
8,3.648,1.208,0.718,0.255,0.005,0.0,0.0,0.0,3.322,2.86,2.426,2.011,1.896,1.808,0.941,1.581,3.56,1.458,1.006,0.711,0.606,0.127,0.086,0.0,3.241,2.673,2.242,1.726,1.479,1.427,0.083,1.769,3.478,1.515,1.133,0.749,0.478,0.289,0.216,0.0,3.05,2.491,1.955,1.552,1.349,1.186,0.38,1.782
9,3.413,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.619,1.903,1.683,0.941,0.941,0.329,0.236,1.329,3.258,0.889,0.412,0.37,0.0,0.0,0.0,0.0,2.406,1.506,1.109,0.083,0.083,0.0,0.0,1.607,3.154,0.964,0.39,0.228,0.0,0.0,0.0,0.0,2.099,1.259,1.131,0.38,0.38,0.0,0.0,1.626
10,3.711,1.322,1.106,0.619,0.437,0.089,0.0,0.0,3.421,3.254,2.829,2.535,2.207,1.982,1.912,1.626,3.635999917984009,1.559000015258789,1.3049999475479126,0.875,0.7900000214576721,0.6079999804496765,0.414000004529953,0.0989999994635582,3.3469998836517334,3.187999963760376,2.6989998817443848,2.257999897003174,1.965000033378601,1.7269999980926514,1.7109999656677246,1.7999999523162842,3.5260000228881836,1.5880000591278076,1.4210000038146973,1.0720000267028809,0.8830000162124634,0.5709999799728394,0.38999998569488525,0.27300000190734863,3.178999900817871,2.9739999771118164,2.431999921798706,2.1389999389648438,1.7569999694824219,1.4609999656677246,1.2269999980926514,1.8380000591278076
11,4.037,1.283,0.77,0.712,0.0,0.0,0.0,0.0,3.265,2.935,2.356,2.219,1.779,1.036,0.987,1.765,4.017,1.422,1.049,0.926,0.261,0.216,0.0,0.0,3.202,2.847,2.215,2.042,1.566,0.551,0.411,1.805,3.841,1.594,1.159,1.002,0.307,0.055,0.0,0.0,2.98,2.629,2.112,1.851,1.327,0.524,0.472,1.968
12,4.084000110626221,1.5329999923706055,1.4429999589920044,1.0679999589920044,0.7760000228881836,0.7020000219345093,0.5770000219345093,0.11299999803304672,3.740999937057495,3.303999900817871,3.1059999465942383,2.9260001182556152,2.696000099182129,2.5350000858306885,2.2690000534057617,1.781000018119812,4.066999912261963,1.690999984741211,1.5809999704360962,1.2699999809265137,1.0390000343322754,0.9950000047683716,0.8519999980926514,0.5879999995231628,3.6760001182556152,3.236999988555908,2.9709999561309814,2.8399999141693115,2.555000066757202,2.374000072479248,2.1600000858306885,1.8170000314712524,3.885999917984009,1.7580000162124634,1.7120000123977661,1.378000020980835,1.1230000257492065,1.1009999513626099,0.9419999718666077,0.7260000109672546,3.5490000247955322,3.0480000972747803,2.8269999027252197,2.631999969482422,2.311000108718872,2.0850000381469727,2.009000062942505,1.9859999418258667
13,3.763,1.186,1.013,0.248,0.0,0.0,0.0,0.0,3.339,2.834,2.627,2.223,1.884,1.751,1.471,1.441,3.7219998836517334,1.284000039100647,1.2100000381469727,0.6759999990463257,0.35600000619888306,0.13600000739097595,0.0860000029206276,0.03200000151991844,3.2880001068115234,2.809000015258789,2.4830000400543213,1.9529999494552612,1.6540000438690186,1.5529999732971191,0.9700000286102295,1.5670000314712524,3.485,1.559,1.392,0.769,0.416,0.327,0.176,0.0,2.974,2.493,2.184,1.686,1.285,1.112,0.937,1.748
14,3.764,1.035,0.792,0.203,0.135,0.0,0.0,0.0,3.134,2.969,2.442,2.384,1.871,1.817,1.512,1.653,3.684999942779541,1.2990000247955322,1.0800000429153442,0.6830000281333923,0.6230000257492065,0.38499999046325684,0.3580000102519989,0.27799999713897705,3.01200008392334,2.8410000801086426,2.239000082015991,2.1589999198913574,1.5130000114440918,1.4550000429153442,0.9409999847412109,1.8070000410079956,3.556999921798706,1.3459999561309814,1.2089999914169312,0.8050000071525574,0.7559999823570251,0.3409999907016754,0.2849999964237213,0.06599999964237213,2.871000051498413,2.5869998931884766,1.8530000448226929,1.7640000581741333,1.2400000095367432,1.2000000476837158,1.0080000162124634,1.8919999599456787
15,3.855,1.047,0.799,0.414,0.0,0.0,0.0,0.0,3.198,2.769,2.516,1.928,1.515,1.392,0.997,1.84,3.802,1.174,1.082,0.727,0.311,0.253,0.183,0.0,3.149,2.617,2.381,1.716,0.94,0.8,0.438,1.944,3.796,1.341,0.966,0.75,0.302,0.058,0.0,0.0,2.956,2.661,2.236,1.245,1.121,0.953,0.53,1.92
16,3.87,1.459,1.362,1.129,0.919,0.549,0.208,0.0,3.595,3.307,3.081,2.834,2.545,2.323,2.209,1.659,4.013999938964844,1.6549999713897705,1.5049999952316284,1.309000015258789,1.097000002861023,0.9139999747276306,0.6980000138282776,0.5690000057220459,3.486999988555908,3.3889999389648438,3.0969998836517334,2.6570000648498535,2.5320000648498535,2.309000015258789,1.8830000162124634,1.8600000143051147,3.7860000133514404,1.6469999551773071,1.6019999980926514,1.4279999732971191,1.156000018119812,0.8980000019073486,0.6299999952316284,0.42899999022483826,3.437999963760376,3.0889999866485596,2.8949999809265137,2.5859999656677246,2.25,2.1470000743865967,1.7999999523162842,1.8049999475479126
17,3.924999952316284,1.8259999752044678,1.2730000019073486,0.9570000171661377,0.8569999933242798,0.7990000247955322,0.7990000247955322,0.2800000011920929,3.8570001125335693,3.500999927520752,3.2079999446868896,3.118000030517578,2.7690000534057617,2.7690000534057617,2.50600004196167,1.850000023841858,4.376999855041504,1.9129999876022339,1.0820000171661377,1.0820000171661377,1.0720000267028809,1.027999997138977,0.699999988079071,0.4699999988079071,3.816999912261963,3.7950000762939453,3.196000099182129,3.1579999923706055,2.617000102996826,2.617000102996826,2.4519999027252197,1.9210000038146973,3.888000011444092,1.940000057220459,1.4709999561309814,1.3739999532699585,1.184000015258789,0.9660000205039978,0.9660000205039978,0.6800000071525574,3.7690000534057617,3.6070001125335693,2.8429999351501465,2.7929999828338623,2.6610000133514404,2.6610000133514404,2.0920000076293945,1.9609999656677246
18,3.844,0.823,0.807,0.013,0.0,0.0,0.0,0.0,2.916,2.841,2.248,1.886,1.393,1.272,0.657,1.811,3.795,1.062,1.019,0.537,0.424,0.237,0.0,0.0,2.818,2.723,2.01,1.554,0.745,0.709,0.001,1.908,3.765,1.102,1.039,0.626,0.31,0.0,0.0,0.0,2.709,2.679,1.62,1.368,0.948,0.849,0.222,1.913
19,3.9189999103546143,1.524999976158142,1.2079999446868896,0.9890000224113464,0.7990000247955322,0.6299999952316284,0.40700000524520874,0.15399999916553497,3.622999906539917,3.3489999771118164,3.1689999103546143,2.8480000495910645,2.7690000534057617,2.6029999256134033,2.303999900817871,1.878999948501587,3.940000057220459,1.6759999990463257,1.2619999647140503,1.1799999475479126,1.0820000171661377,0.8700000047683716,0.7020000219345093,0.453000009059906,3.8580000400543213,3.4769999980926514,3.1640000343322754,2.9509999752044678,2.88700008392334,2.7160000801086426,2.617000102996826,1.968999981880188,3.8389999866485596,1.7580000162124634,1.4509999752044678,1.3489999771118164,1.1019999980926514,0.9660000205039978,0.796999990940094,0.5479999780654907,3.427999973297119,3.177000045776367,2.8550000190734863,2.6610000133514404,2.4070000648498535,2.2769999504089355,1.9539999961853027,1.9839999675750732
20,4.244,1.611,1.066,0.55,0.0,0.0,0.0,0.0,3.213,3.102,2.695,2.6,2.139,1.872,1.814,1.878,4.547,1.496,0.911,0.306,0.0,0.0,0.0,0.0,3.863,3.773,3.581,3.43,3.372,3.257,3.221,1.771,4.233,1.653,1.166,0.556,0.191,0.0,0.0,0.0,3.142,3.096,2.687,2.455,2.125,1.794,1.753,1.88
21,4.052999973297119,1.7649999856948853,1.6349999904632568,1.4170000553131104,1.3250000476837158,1.2730000019073486,1.1330000162124634,1.0199999809265137,3.821000099182129,3.5969998836517334,3.430000066757202,3.3469998836517334,3.2209999561309814,3.1570000648498535,2.997999906539917,1.9769999980926514,3.9739999771118164,1.937000036239624,1.8359999656677246,1.649999976158142,1.5789999961853027,1.534999966621399,1.4390000104904175,1.3819999694824219,3.7269999980926514,3.489000082015991,3.319999933242798,3.2149999141693115,3.0869998931884766,2.98799991607666,2.812999963760376,2.1110000610351562,3.984999895095825,1.8830000162124634,1.7799999713897705,1.6150000095367432,1.5269999504089355,1.465999960899353,1.3799999952316284,1.2649999856948853,3.743000030517578,3.4670000076293945,3.2699999809265137,3.193000078201294,3.0230000019073486,2.98799991607666,2.8329999446868896,2.072000026702881
22,3.743,1.147,0.896,0.399,0.188,0.006,0.0,0.0,3.315,3.164,2.683,2.289,2.217,1.939,1.89,1.639,3.690000057220459,1.3350000381469727,1.003999948501587,0.7049999833106995,0.652999997138977,0.5460000038146973,0.21699999272823334,0.08799999952316284,3.260999917984009,3.131999969482422,2.5789999961853027,1.968999981880188,1.9259999990463257,1.722000002861023,1.690000057220459,1.7660000324249268,3.568000078201294,1.472000002861023,1.3240000009536743,0.9480000138282776,0.6830000281333923,0.6320000290870667,0.3230000138282776,0.25200000405311584,3.0209999084472656,2.7780001163482666,2.184000015258789,1.850000023841858,1.590000033378601,1.2380000352859497,1.2000000476837158,1.8420000076293945
23,3.99399995803833,1.5269999504089355,1.3229999542236328,1.1710000038146973,0.8659999966621399,0.7239999771118164,0.5370000004768372,0.16500000655651093,3.7160000801086426,3.515000104904175,3.111999988555908,2.9790000915527344,2.8459999561309814,2.634999990463257,2.4600000381469727,1.8240000009536743,4.349999904632568,1.6779999732971191,1.4550000429153442,1.125,0.9760000109672546,0.9049999713897705,0.7749999761581421,0.6159999966621399,3.9600000381469727,3.615999937057495,3.0369999408721924,2.885999917984009,2.753999948501587,2.4639999866485596,2.2880001068115234,1.8899999856948853,3.7899999618530273,1.7300000190734863,1.559000015258789,1.3530000448226929,1.2050000429153442,1.024999976158142,0.9480000138282776,0.7509999871253967,3.7149999141693115,3.4790000915527344,2.9000000953674316,2.7219998836517334,2.553999900817871,2.2290000915527344,1.9490000009536743,2.062999963760376
24,4.062,1.426,0.925,0.67,0.364,0.0,0.0,0.0,3.482,2.983,2.708,2.423,1.59,1.552,1.378,1.995,4.0329999923706055,1.559999942779541,1.1169999837875366,0.8569999933242798,0.6710000038146973,0.28200000524520874,0.2370000034570694,0.02800000086426735,3.424999952316284,2.9000000953674316,2.632999897003174,2.256999969482422,1.3980000019073486,1.0679999589920044,0.7289999723434448,2.062000036239624,3.96,1.588,1.127,0.844,0.668,0.083,0.0,0.0,3.346,2.821,2.581,2.181,1.183,1.056,0.911,2.116
25,3.86,1.086,0.812,0.445,0.0,0.0,0.0,0.0,3.053,2.867,2.459,1.971,1.395,1.294,0.941,1.844,3.804,1.411,1.054,0.817,0.455,0.238,0.007,0.0,2.883,2.749,2.189,1.659,0.757,0.731,0.083,1.951,3.799,1.281,1.064,0.76,0.366,0.0,0.0,0.0,2.925,2.687,2.194,1.452,0.96,0.891,0.38,1.928
26,3.872,1.048,0.811,0.434,0.0,0.0,0.0,0.0,3.198,2.871,2.568,2.038,1.893,1.396,1.309,1.84,3.831,1.171,1.051,0.726,0.459,0.254,0.22,0.0,3.149,2.765,2.432,1.774,1.675,0.814,0.738,1.927,3.801,1.341,1.066,0.805,0.431,0.265,0.0,0.0,2.956,2.687,2.259,1.465,1.239,0.956,0.883,1.931
27,4.085999965667725,1.4809999465942383,1.2519999742507935,1.0720000267028809,0.7549999952316284,0.6299999952316284,0.20800000429153442,0.09600000083446503,3.566999912261963,3.3310000896453857,3.1510000228881836,2.747999906539917,2.680000066757202,2.3399999141693115,2.193000078201294,2.013000011444092,4.063000202178955,1.61899995803833,1.5110000371932983,1.312000036239624,1.0429999828338623,0.7950000166893005,0.46000000834465027,0.4090000092983246,3.5269999504089355,3.257999897003174,3.0450000762939453,2.6489999294281006,2.510999917984009,2.0850000381469727,1.9600000381469727,2.066999912261963,3.9860000610351562,1.6759999990463257,1.4809999465942383,1.340000033378601,0.9570000171661377,0.8560000061988831,0.6039999723434448,0.47699999809265137,3.4059998989105225,3.114000082015991,2.934999942779541,2.6070001125335693,2.507999897003174,1.9600000381469727,1.8639999628067017,2.13100004196167
28,3.672,1.448,1.125,0.754,0.404,0.127,0.0,0.0,3.464,3.166,2.795,2.418,2.104,1.921,1.82,1.666,3.5380001068115234,1.7130000591278076,1.4329999685287476,1.125,0.8610000014305115,0.6840000152587891,0.5809999704360962,0.5090000033378601,3.3320000171661377,2.994999885559082,2.552000045776367,2.0759999752044678,1.7350000143051147,1.6009999513626099,1.2979999780654907,1.9040000438690186,3.549999952316284,1.6480000019073486,1.3880000114440918,1.0829999446868896,0.7900000214576721,0.5509999990463257,0.38199999928474426,0.2770000100135803,3.2990000247955322,2.947000026702881,2.5230000019073486,2.0980000495910645,1.7339999675750732,1.472000002861023,1.3170000314712524,1.8209999799728394
29,3.602,0.994,0.4,0.07,0.0,0.0,0.0,0.0,3.124,2.502,2.238,1.89,1.518,0.941,0.941,1.534,3.504,1.296,0.786,0.604,0.294,0.086,0.0,0.0,3.01,2.18,1.938,1.684,0.92,0.083,0.083,1.752,3.416,1.338,0.87,0.648,0.259,0.072,0.0,0.0,2.812,2.098,1.67,1.201,1.015,0.38,0.38,1.752
30,3.853,1.064,0.812,0.688,0.0,0.0,0.0,0.0,3.135,2.874,2.672,2.072,1.548,1.385,1.053,1.815,3.805,1.418,1.056,0.947,0.467,0.241,0.11,0.0,2.983,2.763,2.474,1.804,1.167,0.741,0.584,1.911,3.77,1.379,1.069,0.891,0.451,0.017,0.0,0.0,2.866,2.687,2.515,1.499,1.097,0.936,0.515,1.92
31,3.867,1.387,0.991,0.799,0.508,0.181,0.0,0.0,3.507,3.132,2.769,2.621,2.325,1.919,1.694,1.847,3.815000057220459,1.5640000104904175,1.13100004196167,1.0820000171661377,0.7860000133514404,0.593999981880188,0.3109999895095825,0.2529999911785126,3.434999942779541,3.0899999141693115,2.617000102996826,2.4760000705718994,2.1649999618530273,1.7139999866485596,1.2899999618530273,1.9490000009536743,3.802999973297119,1.6649999618530273,1.2730000019073486,0.9660000205039978,0.871999979019165,0.6060000061988831,0.2879999876022339,0.16500000655651093,3.25600004196167,2.8980000019073486,2.6610000133514404,2.321000099182129,1.9229999780654907,1.2380000352859497,1.1269999742507935,1.9329999685287476
32,3.64,0.737,0.696,0.0,0.0,0.0,0.0,0.0,3.012,2.811,2.031,1.925,1.657,0.941,0.941,1.54,3.582,1.081,0.839,0.477,0.112,0.036,0.0,0.0,2.978,2.566,1.755,1.717,1.327,0.083,0.083,1.714,3.448,1.195,1.115,0.455,0.295,0.072,0.0,0.0,2.556,2.485,1.442,1.221,1.084,0.38,0.38,1.758
33,3.776,1.331,0.66,0.017,0.0,0.0,0.0,0.0,3.192,2.707,2.462,1.931,1.826,1.512,0.941,1.504,3.704,1.477,0.864,0.621,0.423,0.091,0.06,0.0,3.147,2.554,2.252,1.716,1.475,0.981,0.083,1.708,3.598,1.595,1.116,0.455,0.44,0.262,0.028,0.0,2.893,2.39,2.057,1.35,1.224,0.989,0.38,1.708
34,3.636,0.964,0.393,0.076,0.0,0.0,0.0,0.0,3.206,2.672,2.242,1.944,1.887,1.532,0.941,1.521,3.571,1.102,0.709,0.598,0.338,0.088,0.062,0.0,3.168,2.548,1.94,1.722,1.684,1.024,0.083,1.679,3.425,1.367,0.951,0.651,0.34,0.251,0.047,0.0,2.842,2.159,1.684,1.246,1.198,0.995,0.38,1.761
35,3.666,0.846,0.135,0.0,0.0,0.0,0.0,0.0,3.123,2.264,2.151,1.893,1.779,0.941,0.476,1.543,4.364,0.773,0.611,0.471,0.088,0.0,0.0,0.0,3.194,1.954,1.885,1.696,1.618,0.279,0.083,1.47,3.861,1.184,0.664,0.583,0.254,0.08,0.0,0.0,2.844,1.787,1.417,1.204,1.144,0.38,0.0,1.63
36,3.89,1.264,0.811,0.686,0.182,0.0,0.0,0.0,3.387,2.883,2.831,2.334,2.165,1.896,1.799,1.854,3.8459999561309814,1.4270000457763672,1.0520000457763672,0.8669999837875366,0.6460000276565552,0.5230000019073486,0.39100000262260437,0.08799999952316284,3.3310000896453857,2.805000066757202,2.7249999046325684,2.0910000801086426,1.8730000257492065,1.684999942779541,1.4600000381469727,1.9390000104904175,3.816999912261963,1.527999997138977,1.0679999589920044,1.0230000019073486,0.7039999961853027,0.5559999942779541,0.26899999380111694,0.21799999475479126,3.1610000133514404,2.687000036239624,2.575000047683716,1.8580000400543213,1.5820000171661377,1.3250000476837158,1.1959999799728394,1.9479999542236328
37,3.65,1.326,0.909,0.492,0.166,0.0,0.0,0.0,3.388,3.009,2.572,2.186,1.946,1.837,1.726,1.632,3.5230000019073486,1.5829999446868896,1.222000002861023,0.9039999842643738,0.6990000009536743,0.5860000252723694,0.5109999775886536,0.08699999749660492,3.2660000324249268,2.8359999656677246,2.299999952316284,1.8040000200271606,1.6749999523162842,1.3519999980926514,1.1260000467300415,1.8650000095367432,3.510999917984009,1.5870000123977661,1.2649999856948853,0.9169999957084656,0.6209999918937683,0.4129999876022339,0.28700000047683716,0.21899999678134918,3.1670000553131104,2.700000047683716,2.196000099182129,1.7699999809265137,1.4780000448226929,1.315999984741211,1.184999942779541,1.8049999475479126
