,LDI,Mac,Mnc,Mpc,QCmax,QCmin,QCss,QHmax,QHmin,QHss,QNmax,QNmin,QNss,QOmax,QOmin,QOss,Qass,Qmax,Qmin,Rnc,Rpc,SPP,Tac,Tnc,Tpc
0,0.226,0.142,-0.19,0.114,0.294,-0.03,0.187,0.077,0.064,0.015,0.064,0.062,0.008,-0.258,-0.258,0.267,0.483,0.294,-0.258,0.227,0.258,0.552,2.279,-1.14,1.14
1,0.312,0.218,-0.264,0.185,0.339,-0.057,0.186,0.297,0.062,0.272,0.0,0.0,0.0,-0.246,-0.504,0.797,1.255,0.339,-0.504,0.273,0.183,0.843,3.698,-1.849,1.849
2,0.289,0.164,-0.377,0.105,0.157,0.027,0.063,0.213,0.035,0.209,0.0,0.0,0.0,-0.344,-0.394,0.711,0.983,0.213,-0.394,0.209,0.113,0.607,3.767,-1.884,1.884
3,0.32,0.211,-0.256,0.179,0.335,-0.044,0.168,0.297,0.063,0.273,0.0,0.0,0.0,-0.246,-0.504,0.797,1.238,0.335,-0.504,0.281,0.187,0.839,3.587,-1.794,1.794
4,0.288,0.194,-0.249,0.159,0.337,-0.058,0.154,0.297,0.062,0.235,-0.395,-0.395,0.156,-0.246,-0.506,0.545,1.09,0.337,-0.506,0.29,0.193,0.843,3.491,-1.746,1.746
5,0.372,0.198,-0.317,0.144,0.321,0.075,0.122,0.296,0.045,0.177,-0.318,-0.318,0.101,-0.23,-0.48,0.44,0.864,0.321,-0.48,0.303,0.203,0.801,3.168,-1.584,1.584
6,0.337,0.138,-0.22,0.1,0.303,-0.03,0.095,0.296,0.029,0.124,-0.33,-0.33,0.109,-0.252,-0.481,0.295,0.623,0.303,-0.481,0.437,0.275,0.784,2.203,-1.102,1.102
7,0.245,0.15,-0.178,0.13,0.307,-0.055,0.121,0.296,0.044,0.194,0.0,0.0,0.0,-0.252,-0.508,0.553,0.868,0.307,-0.508,0.356,0.215,0.815,2.854,-1.427,1.427
8,0.334,0.151,-0.339,0.097,0.303,0.018,0.119,0.296,0.035,0.127,-0.324,-0.324,0.105,-0.252,-0.481,0.384,0.735,0.303,-0.481,0.355,0.224,0.784,2.712,-1.356,1.356
9,0.307,0.158,-0.394,0.098,0.066,0.066,0.009,0.21,0.059,0.102,0.0,0.0,0.0,-0.394,-0.394,0.31,0.421,0.21,-0.394,0.5,0.267,0.604,1.576,-0.788,0.788
10,0.425,0.174,-0.299,0.123,0.326,-0.011,0.264,0.296,0.03,0.215,-0.343,-0.343,0.118,-0.25,-0.481,0.664,1.26,0.326,-0.481,0.23,0.156,0.807,4.186,-2.093,2.093
11,0.333,0.183,-0.274,0.137,0.182,0.095,0.096,0.168,0.104,0.1,-0.215,-0.382,0.402,0.0,0.0,0.0,0.598,0.182,-0.382,0.278,0.133,0.564,2.743,-1.371,1.371
12,0.311,0.178,-0.316,0.124,0.167,0.072,0.173,0.211,0.059,0.233,-0.216,-0.382,0.375,-0.347,-0.394,0.574,1.354,0.211,-0.394,0.138,0.074,0.605,5.69,-2.845,2.845
13,0.529,0.237,-0.288,0.201,0.323,0.185,0.311,0.174,0.088,0.146,-0.275,-0.352,0.391,-0.248,-0.27,0.197,1.044,0.323,-0.352,0.175,0.161,0.675,4.025,-2.013,2.013
14,0.312,0.187,-0.375,0.125,0.183,0.079,0.081,0.213,0.06,0.208,0.0,0.0,0.0,-0.347,-0.388,0.703,0.993,0.213,-0.388,0.207,0.114,0.601,3.747,-1.873,1.873
15,0.213,0.134,-0.143,0.126,0.335,-0.062,0.132,0.297,0.062,0.108,0.0,0.0,0.0,-0.246,-0.478,0.289,0.528,0.335,-0.478,0.476,0.334,0.813,2.009,-1.004,1.004
16,0.286,0.121,-0.215,0.084,0.315,-0.052,0.208,0.296,0.027,0.161,-0.332,-0.332,0.221,-0.249,-0.481,0.357,0.971,0.315,-0.481,0.249,0.163,0.796,3.87,-1.935,1.935
17,0.336,0.148,-0.197,0.118,0.269,-0.012,0.182,0.226,0.066,0.088,0.062,0.062,0.008,-0.205,-0.395,0.701,1.321,0.584,-0.395,0.167,0.248,0.979,4.722,-2.361,2.361
18,0.219,0.165,-0.193,0.145,0.157,-0.058,0.057,0.293,0.062,0.189,0.0,0.0,0.0,-0.504,-0.504,0.509,0.754,0.293,-0.504,0.436,0.253,0.797,2.316,-1.158,1.158
19,0.242,0.139,-0.202,0.106,0.269,-0.05,0.198,0.211,0.058,0.154,0.062,-0.346,0.123,-0.258,-0.394,0.512,1.005,0.269,-0.394,0.178,0.121,0.663,4.439,-2.22,2.22
20,0.128,0.131,-0.125,0.138,0.182,0.12,0.194,0.0,0.0,0.0,0.0,0.0,0.0,-0.295,-0.295,0.087,0.399,0.182,-0.295,0.215,0.132,0.477,2.754,-1.377,1.377
21,0.119,0.074,-0.107,0.057,0.303,-0.062,0.131,0.296,0.023,0.258,0.0,0.0,0.0,-0.252,-0.481,0.758,1.147,0.303,-0.481,0.188,0.118,0.784,5.122,-2.561,2.561
22,0.453,0.245,-0.367,0.184,0.336,0.086,0.349,0.296,0.042,0.315,0.0,0.0,0.0,-0.249,-0.481,1.024,1.688,0.336,-0.481,0.187,0.131,0.817,5.144,-2.572,2.572
23,0.403,0.189,-0.276,0.144,0.351,-0.003,0.218,0.223,0.06,0.278,-0.176,-0.383,0.251,-0.228,-0.387,0.795,1.762,0.469,-0.387,0.117,0.142,0.856,6.63,-3.315,3.315
24,0.228,0.106,-0.129,0.09,0.336,-0.061,0.145,0.07,0.062,0.025,0.0,0.0,0.0,-0.246,-0.423,0.239,0.409,0.336,-0.423,0.468,0.372,0.759,1.806,-0.903,0.903
25,0.126,0.094,-0.107,0.083,0.118,-0.062,0.026,0.293,0.028,0.104,0.0,0.0,0.0,-0.508,-0.508,0.258,0.388,0.293,-0.508,0.678,0.391,0.801,1.498,-0.749,0.749
26,0.266,0.177,-0.202,0.157,0.339,-0.061,0.151,0.297,0.062,0.19,0.0,0.0,0.0,-0.246,-0.507,0.546,0.887,0.339,-0.507,0.359,0.24,0.846,2.827,-1.414,1.414
27,0.298,0.114,-0.186,0.082,0.336,-0.047,0.254,0.07,0.028,0.024,0.0,0.0,0.0,-0.246,-0.427,0.485,0.763,0.336,-0.427,0.287,0.226,0.763,2.97,-1.485,1.485
28,0.19,0.081,-0.132,0.059,0.303,-0.065,0.112,0.296,0.023,0.099,0.0,0.0,0.0,-0.252,-0.481,0.295,0.506,0.303,-0.481,0.455,0.286,0.784,2.115,-1.058,1.058
29,0.357,0.155,-0.291,0.106,0.305,-0.038,0.104,0.296,0.026,0.141,0.0,0.0,0.0,-0.252,-0.481,0.45,0.694,0.305,-0.481,0.413,0.262,0.786,2.329,-1.165,1.165
30,0.258,0.135,-0.191,0.104,0.16,-0.058,0.064,0.293,0.062,0.116,0.0,0.0,0.0,-0.493,-0.504,0.497,0.677,0.293,-0.504,0.44,0.256,0.797,2.292,-1.146,1.146
31,0.274,0.148,-0.181,0.125,0.322,-0.062,0.198,0.296,0.061,0.142,-0.341,-0.341,0.116,-0.25,-0.48,0.366,0.822,0.322,-0.48,0.295,0.198,0.802,3.25,-1.625,1.625
32,0.465,0.215,-0.301,0.167,0.317,-0.041,0.226,0.296,0.024,0.18,0.0,0.0,0.0,-0.251,-0.481,0.588,0.994,0.317,-0.481,0.319,0.211,0.798,3.01,-1.505,1.505
33,0.387,0.17,-0.272,0.124,0.326,-0.013,0.172,0.296,0.03,0.123,-0.343,-0.343,0.117,-0.25,-0.48,0.368,0.781,0.326,-0.48,0.353,0.239,0.806,2.721,-1.361,1.361
34,0.47,0.246,-0.369,0.184,0.333,0.082,0.237,0.296,0.042,0.229,0.0,0.0,0.0,-0.249,-0.481,0.732,1.198,0.333,-0.481,0.261,0.18,0.814,3.686,-1.843,1.843
35,0.519,0.252,-0.328,0.205,0.315,0.147,0.121,0.296,0.052,0.191,0.0,0.0,0.0,-0.252,-0.481,0.572,0.997,0.336,-0.481,0.293,0.205,0.817,3.281,-1.64,1.64
36,0.286,0.186,-0.232,0.155,0.307,-0.055,0.153,0.296,0.044,0.276,0.0,0.0,0.0,-0.252,-0.504,0.803,1.233,0.307,-0.504,0.271,0.165,0.811,3.715,-1.858,1.858
37,0.258,0.11,-0.172,0.08,0.303,-0.052,0.1,0.296,0.027,0.127,-0.33,-0.33,0.109,-0.252,-0.481,0.295,0.631,0.303,-0.481,0.399,0.251,0.784,2.414,-1.207,1.207
38,0.427,0.154,-0.288,0.105,0.268,0.01,0.122,0.159,0.046,0.064,-0.178,-0.369,0.281,-0.27,-0.27,0.073,0.54,0.268,-0.369,0.32,0.232,0.637,2.308,-1.154,1.154
39,0.382,0.174,-0.226,0.141,0.346,-0.003,0.132,0.173,0.068,0.091,-0.202,-0.385,0.274,-0.246,-0.246,0.06,0.558,0.346,-0.385,0.341,0.307,0.731,2.256,-1.128,1.128
