,Chi0,Chi1,Chi10,Chi2,Chi3,Chi3c,Chi3ch,Chi4,Chi4c,Chi4ch,Chi4pc,Chi5,Chi5ch,Chi6,Chi6ch,Chi7,Chi8,Chi9,Chiv0,Chiv1,Chiv10,Chiv2,Chiv3,Chiv3c,Chiv3ch,Chiv4,Chiv4c,Chiv4ch,Chiv4pc,Chiv5,Chiv5ch,Chiv6,Chiv6ch,Chiv7,Chiv8,Chiv9,dchi0,dchi1,dchi2,dchi3,dchi4,knotp,knotpv,mChi1
0,10.008,6.02,0.0,5.702,4.098,1.205,0.0,2.926,0.0,0.0,2.499,2.081,0.0,1.507,0.068,0.566,0.298,0.0,6.893,3.482,0.0,2.557,1.657,0.377,0.0,0.941,0.0,0.0,0.682,0.567,0.0,0.267,0.024,0.085,0.024,0.0,3.115,2.537,3.145,2.441,1.984,1.294,0.305,0.463
1,8.431,5.126,0.0,4.675,3.626,0.898,0.0,2.564,0.0,0.0,2.125,1.597,0.0,0.714,0.068,0.502,0.124,0.0,5.482,2.869,0.0,1.978,1.245,0.238,0.0,0.704,0.0,0.0,0.437,0.368,0.0,0.13,0.024,0.057,0.01,0.0,2.949,2.257,2.697,2.381,1.86,1.228,0.199,0.466
2,8.431,5.147,0.0,4.581,3.645,0.883,0.0,2.68,0.0,0.0,1.968,1.77,0.0,0.777,0.056,0.416,0.062,0.0,5.921,3.454,0.0,2.605,1.73,0.362,0.0,1.083,0.0,0.0,0.647,0.6,0.0,0.248,0.032,0.094,0.01,0.0,2.51,1.693,1.976,1.915,1.597,1.084,0.285,0.468
3,8.431,5.109,0.0,4.772,3.582,0.971,0.0,2.195,0.0,0.0,2.126,1.744,0.0,1.026,0.068,0.438,0.045,0.0,5.482,2.863,0.0,2.009,1.222,0.258,0.0,0.656,0.0,0.0,0.416,0.395,0.0,0.156,0.024,0.05,0.005,0.0,2.949,2.246,2.763,2.359,1.538,1.155,0.158,0.464
4,8.431,5.126,0.0,4.675,3.626,0.898,0.0,2.564,0.0,0.0,2.125,1.597,0.0,0.714,0.068,0.502,0.124,0.0,5.612,2.934,0.0,2.044,1.314,0.255,0.0,0.74,0.0,0.0,0.489,0.381,0.0,0.136,0.024,0.061,0.011,0.0,2.819,2.192,2.632,2.313,1.824,1.228,0.234,0.466
5,7.439,4.037,0.0,3.851,1.981,0.977,0.0,1.016,0.0,0.0,1.412,0.544,0.0,0.0,0.0,0.0,0.0,0.0,5.297,3.372,0.0,2.409,1.284,0.329,0.0,0.675,0.0,0.0,0.404,0.183,0.0,0.0,0.0,0.0,0.0,0.0,2.142,0.665,1.442,0.698,0.341,0.435,0.075,0.505
6,5.699,3.27,0.0,2.536,1.135,0.408,0.0,0.612,0.0,0.0,0.289,0.408,0.0,0.0,0.0,0.0,0.0,0.0,4.054,2.19,0.0,1.286,0.595,0.065,0.0,0.253,0.0,0.0,0.046,0.087,0.0,0.0,0.0,0.0,0.0,0.0,1.645,1.081,1.25,0.54,0.359,0.12,0.019,0.545
7,8.268,5.182,0.0,4.755,2.94,0.901,0.0,2.231,0.0,0.0,1.05,1.746,0.0,0.848,0.083,0.615,0.156,0.039,5.819,3.18,0.0,2.237,1.292,0.257,0.0,0.788,0.0,0.0,0.313,0.49,0.0,0.191,0.028,0.087,0.022,0.004,2.448,2.002,2.518,1.648,1.443,0.149,0.056,0.471
8,7.276,4.164,0.0,3.485,1.934,0.697,0.0,0.822,0.0,0.0,0.781,0.687,0.0,0.236,0.0,0.0,0.0,0.0,4.962,2.601,0.0,1.637,0.845,0.167,0.0,0.348,0.0,0.0,0.177,0.17,0.0,0.044,0.0,0.0,0.0,0.0,2.314,1.563,1.848,1.088,0.474,0.085,0.01,0.52
9,3.414,1.914,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309,1.132,0.0,0.447,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106,0.782,0.553,0.4,0.0,0.0,0.0,0.638
10,10.431,5.93,0.0,5.605,2.832,1.316,0.0,1.876,0.0,0.0,1.543,1.469,0.0,0.657,0.0,0.272,0.0,0.0,7.111,3.649,0.0,2.524,1.322,0.321,0.0,0.771,0.0,0.0,0.379,0.41,0.0,0.134,0.0,0.043,0.0,0.0,3.32,2.282,3.081,1.509,1.106,0.227,0.057,0.494
11,6.975,4.877,0.028,4.263,3.683,0.538,0.0,3.089,0.0,0.0,1.44,2.063,0.118,1.293,0.068,0.824,0.457,0.145,5.074,2.773,0.001,1.86,1.252,0.177,0.0,0.784,0.0,0.0,0.366,0.393,0.032,0.179,0.014,0.086,0.035,0.008,1.901,2.104,2.403,2.431,2.305,0.902,0.189,0.443
12,13.569,9.13,0.671,8.263,7.759,1.332,0.0,6.388,0.0,0.0,3.985,4.806,0.175,3.673,0.068,2.581,1.764,1.113,9.787,5.686,0.059,4.312,3.178,0.574,0.0,2.166,0.0,0.0,1.256,1.324,0.074,0.8,0.014,0.445,0.243,0.125,3.781,3.444,3.951,4.58,4.222,2.653,0.681,0.435
13,8.431,5.092,0.0,4.943,3.058,1.099,0.0,2.607,0.0,0.0,1.515,1.686,0.096,0.792,0.0,0.33,0.124,0.0,5.379,2.767,0.0,1.904,1.061,0.241,0.0,0.661,0.0,0.0,0.315,0.294,0.036,0.108,0.0,0.034,0.009,0.0,3.051,2.325,3.039,1.997,1.946,0.416,0.074,0.463
