,AWeight,PC1,PC2,PC3,PC4,PC5,PC6,Weight,naccr,naro,ncarb,ncobr,ncocl,ncof,ncoi,ndb,ndonr,nhal,nhet,nhev,nhyd,nnitro,noxy,nphos,nring,nrot,nsb,nsulph,nta,ntb
0,15.348,13,18,21,23,26,24,199.529,4,6,6,0,1,0,0,2,0,1,7,13,3,2,4,0,1,2,5,4,16,0
1,13.461,11,15,18,19,18,12,148.073,3,6,7,0,0,0,0,1,3,0,4,11,6,0,4,0,1,1,4,4,17,0
2,13.824,11,15,18,20,20,14,152.061,5,0,6,0,0,0,0,0,4,0,5,11,12,0,5,0,1,1,11,5,23,0
3,13.461,11,15,17,17,20,16,148.073,3,6,7,0,0,0,0,1,3,0,4,11,6,0,4,0,1,1,4,4,17,0
4,13.28,11,15,18,19,18,12,146.081,3,6,7,0,0,0,0,1,3,0,4,11,7,1,3,0,1,1,4,3,18,0
5,16.234,8,10,8,6,4,0,146.103,3,0,3,0,0,0,0,2,3,0,6,9,7,1,4,0,0,3,6,4,16,0
6,13.436,6,6,4,3,2,0,94.049,2,0,4,0,0,0,0,1,2,0,3,7,9,1,2,0,0,3,5,2,16,0
7,13.099,11,14,14,16,18,13,144.085,2,6,8,0,0,0,0,1,2,0,3,11,8,0,3,0,1,2,4,3,19,0
8,13.562,8,9,7,5,5,2,122.059,3,0,5,0,0,0,0,2,2,0,4,9,9,1,3,0,0,4,6,3,18,0
9,14.005,3,2,1,0,0,0,56.02,2,0,2,0,0,0,0,0,2,0,2,4,6,0,2,0,0,1,3,2,10,0
10,13.698,12,15,13,13,13,8,178.079,3,0,7,0,0,0,0,3,3,0,6,13,11,1,5,0,0,5,9,5,24,0
11,13.009,11,15,20,25,25,23,130.09,4,10,5,0,0,0,0,0,2,0,5,10,5,5,0,0,2,0,1,0,15,0
12,13.376,21,31,45,60,72,86,254.141,9,10,10,0,0,0,0,0,4,0,9,19,13,5,4,0,3,2,11,4,32,0
13,13.824,11,15,16,20,18,13,152.069,3,0,4,0,0,0,0,3,4,0,7,11,6,4,3,0,1,1,8,3,17,0
14,14.005,10,14,17,16,16,11,140.05,5,0,5,0,0,0,0,0,4,0,5,10,10,0,5,0,1,0,10,5,20,0
15,12.897,9,11,12,12,12,7,116.075,1,6,7,0,0,0,0,1,1,0,2,9,6,0,2,0,1,1,2,2,15,0
16,14.262,17,23,28,37,40,44,228.188,3,0,10,0,0,0,0,2,3,0,6,16,16,2,3,0,2,5,15,3,32,0
17,14.396,24,34,38,45,52,54,331.112,7,12,12,0,0,0,0,3,1,0,11,23,9,2,8,1,2,6,9,8,32,0
18,13.008,8,10,11,10,10,5,104.064,2,6,6,0,0,0,0,0,2,0,2,8,6,0,2,0,1,0,2,2,14,0
19,15.552,20,27,32,33,38,39,311.036,5,6,11,0,2,0,0,2,3,2,9,20,12,2,5,0,1,6,12,5,32,0
20,23.364,25,57,120,216,368,572,490.639,1,0,10,0,10,0,0,1,0,10,11,21,0,0,1,0,6,0,24,1,21,0
21,12.699,32,51,74,105,148,185,368.259,4,0,24,0,0,0,0,1,4,0,5,29,40,0,5,0,4,4,31,5,69,0
22,14.158,12,17,16,17,12,4,184.059,4,0,6,0,0,0,0,3,4,0,7,13,8,0,7,0,0,5,9,7,21,0
23,14.718,22,33,39,49,60,68,309.086,9,6,9,0,0,0,0,2,5,0,12,21,14,3,8,1,2,4,14,8,35,0
24,12.736,12,16,20,25,31,26,140.097,2,11,9,0,0,0,0,1,0,0,2,11,6,0,2,0,2,0,0,2,17,0
25,12.509,8,10,11,10,10,5,100.076,1,6,7,0,0,0,0,0,1,0,1,8,8,0,1,0,1,0,2,1,16,0
26,13.207,10,13,15,16,14,9,132.074,2,6,7,0,0,0,0,1,2,0,3,10,6,0,3,0,1,1,3,3,16,0
27,13.008,17,24,29,39,47,52,208.128,4,11,12,0,0,0,0,2,0,0,4,16,10,0,4,0,2,1,4,4,26,0
28,12.809,9,9,7,6,5,4,128.086,1,0,8,0,0,0,0,1,1,0,2,10,16,0,2,0,0,6,8,2,26,0
29,13.72,6,7,4,4,0,0,96.041,2,0,4,0,0,0,0,1,2,0,3,7,8,0,3,0,0,2,5,3,15,0
30,12.897,9,11,13,13,12,7,116.075,2,6,7,0,0,0,0,0,1,0,2,9,8,0,2,0,1,1,3,2,17,0
31,13.085,13,16,17,18,20,15,170.103,2,6,9,0,0,0,0,2,2,0,4,13,9,1,3,0,1,3,5,3,22,0
32,14.005,7,9,8,4,0,0,112.04,2,0,4,0,0,0,0,2,2,0,4,8,6,0,4,0,0,2,5,4,14,0
33,13.562,9,12,13,14,12,8,122.059,2,0,5,0,0,0,0,2,2,0,4,9,7,1,3,0,1,1,7,3,16,0
34,14.227,8,10,8,6,4,0,128.039,3,0,4,0,0,0,0,2,3,0,5,9,6,0,5,0,0,3,6,5,15,0
35,16.874,7,10,5,6,0,0,134.991,2,0,2,0,0,0,0,2,3,0,6,8,5,0,5,1,0,2,5,5,13,0
36,13.34,12,16,17,19,21,18,160.084,3,6,8,0,0,0,0,1,3,0,4,12,8,0,4,0,1,2,5,4,20,0
37,13.119,8,8,6,5,4,3,118.071,2,0,6,0,0,0,0,1,2,0,3,9,13,1,2,0,0,5,7,2,22,0
38,13.258,8,11,12,13,9,4,106.064,3,0,4,0,0,0,0,2,1,0,4,8,7,3,1,0,1,0,6,1,15,0
39,13.258,8,10,10,11,10,6,106.064,3,6,4,0,0,0,0,1,2,0,4,8,5,3,1,0,1,0,1,1,13,0
40,13.382,17,24,31,39,44,49,214.116,7,6,9,0,0,0,0,1,3,0,7,16,13,3,4,0,2,2,10,4,29,0
41,12.736,12,16,20,25,31,26,140.097,2,6,9,0,0,0,0,1,0,0,2,11,8,0,2,0,2,0,5,2,19,0
42,12.41,23,36,53,73,98,122,248.196,2,6,18,0,0,0,0,1,1,0,2,20,22,0,2,0,4,0,16,2,42,0
43,13.207,9,11,11,8,4,2,132.074,3,0,7,0,0,0,0,2,0,0,3,10,12,0,3,0,0,3,7,3,22,0
44,23.732,12,18,24,24,24,19,284.784,0,0,6,0,6,0,0,0,0,6,6,12,6,0,0,0,1,0,12,0,18,0
45,14.51,19,24,24,22,23,19,290.192,6,0,10,0,0,0,0,4,6,0,10,20,17,3,6,0,0,9,15,6,37,0
46,12.759,8,9,10,11,7,5,102.076,2,5,5,0,0,0,0,0,2,0,3,8,9,3,0,0,1,2,3,0,17,0
47,12.778,14,19,24,32,36,36,166.115,1,10,10,0,0,0,0,1,2,0,3,13,9,1,2,0,2,2,3,2,22,0
48,12.942,16,22,28,34,40,42,194.125,2,10,11,0,0,0,0,2,2,0,4,15,9,1,3,0,2,3,4,3,24,0
49,13.481,21,31,45,60,72,86,256.133,8,10,10,0,0,0,0,1,4,0,9,19,12,4,5,0,3,2,10,5,31,0
50,16.018,12,14,14,15,12,11,192.22,3,0,8,0,0,0,0,1,1,0,4,12,14,0,2,0,1,5,11,2,26,0
51,14.005,12,18,24,24,24,19,168.06,6,0,6,0,0,0,0,0,6,0,6,12,12,0,6,0,1,0,12,6,24,0
52,12.715,18,24,30,38,46,52,216.155,2,10,13,0,0,0,0,1,2,0,4,17,16,2,2,0,2,4,7,2,33,0
53,13.739,15,21,26,31,35,29,206.089,6,0,8,0,0,0,0,1,5,0,7,15,15,1,6,0,1,2,14,6,30,0
54,12.759,17,23,28,36,43,46,204.144,2,10,12,0,0,0,0,1,3,0,4,16,14,2,2,0,2,3,6,2,30,0
55,12.609,10,12,12,14,14,9,126.094,1,6,8,0,0,0,0,1,1,0,2,10,9,1,1,0,1,1,3,1,19,0
56,12.011,11,14,18,22,26,20,120.11,0,11,10,0,0,0,0,0,0,0,0,10,8,0,0,0,2,0,0,0,18,0
57,13.008,22,32,42,57,72,84,260.16,5,12,15,0,0,0,0,1,3,0,5,20,12,0,5,0,3,1,9,5,32,0
58,12.898,9,11,12,12,12,7,116.079,2,6,6,0,0,0,0,1,1,0,3,9,6,2,1,0,1,1,2,1,15,0
59,13.119,9,11,12,12,12,7,118.071,2,6,6,0,0,0,0,1,1,0,3,9,5,1,2,0,1,1,2,2,14,0
60,12.344,13,17,22,27,27,24,148.124,2,6,10,0,0,0,0,0,0,0,2,12,14,2,0,0,2,1,7,0,26,0
61,12.233,9,11,12,12,12,7,110.095,1,6,8,0,0,0,0,0,0,0,1,9,11,1,0,0,1,1,3,0,20,0
62,12.454,8,7,6,5,4,3,112.087,1,0,8,0,0,0,0,0,1,0,1,9,18,0,1,0,0,6,8,1,27,0
63,13.008,10,13,14,14,16,13,130.082,2,6,7,0,0,0,0,1,2,0,3,10,7,1,2,0,1,1,3,2,17,0
64,22.111,12,18,24,24,24,19,265.33,1,6,6,0,5,0,0,0,1,5,6,12,1,0,1,0,1,0,6,1,13,0
65,12.011,16,22,31,42,55,55,168.154,0,16,14,0,0,0,0,0,0,0,0,14,10,0,0,0,3,0,0,0,24,0
