,GATSe1,GATSe2,GATSe3,GATSe4,GATSe5,GATSe6,GATSe7,GATSe8,GATSm1,GATSm2,GATSm3,GATSm4,GATSm5,GATSm6,GATSm7,GATSm8,GATSp1,GATSp2,GATSp3,GATSp4,GATSp5,GATSp6,GATSp7,GATSp8,GATSv1,GATSv2,GATSv3,GATSv4,GATSv5,GATSv6,GATSv7,GATSv8
0,0.393,0.817,1.352,1.543,1.342,0.028,0.0,0.0,0.556,0.825,1.191,1.297,0.755,1.589,0.0,0.0,0.216,0.641,1.179,1.744,1.156,1.267,0.0,0.0,0.233,0.697,1.247,1.736,1.241,0.752,0.0,0.0
1,0.714,0.786,1.179,1.375,0.982,0.0,0.0,0.0,0.714,0.786,1.179,1.375,0.982,0.0,0.0,0.0,0.714,0.786,1.179,1.375,0.982,0.0,0.0,0.0,0.714,0.786,1.179,1.375,0.982,0.0,0.0,0.0
2,1.0,1.1,0.978,1.1,0.458,0.0,0.0,0.0,1.0,1.1,0.978,1.1,0.458,0.0,0.0,0.0,1.0,1.1,0.978,1.1,0.458,0.0,0.0,0.0,1.0,1.1,0.978,1.1,0.458,0.0,0.0,0.0
3,0.714,0.786,1.122,1.719,1.179,0.0,0.0,0.0,0.714,0.786,1.122,1.719,1.179,0.0,0.0,0.0,0.714,0.786,1.122,1.719,1.179,0.0,0.0,0.0,0.714,0.786,1.122,1.719,1.179,0.0,0.0,0.0
4,0.69,0.7,1.091,1.585,1.172,0.0,0.0,0.0,0.692,0.702,1.092,1.579,1.17,0.0,0.0,0.0,0.706,0.737,1.12,1.491,1.118,0.0,0.0,0.0,0.702,0.726,1.11,1.519,1.138,0.0,0.0,0.0
5,0.955,0.998,1.278,1.358,0.0,0.0,0.0,0.0,1.543,0.613,1.293,1.198,0.0,0.0,0.0,0.0,1.488,0.562,1.009,1.735,0.0,0.0,0.0,0.0,1.169,0.864,1.113,1.516,0.0,0.0,0.0,0.0
6,0.827,0.827,1.24,1.654,0.579,0.0,0.0,0.0,0.829,0.829,1.244,1.658,0.55,0.0,0.0,0.0,0.858,0.858,1.287,1.716,0.203,0.0,0.0,0.0,0.85,0.85,1.275,1.7,0.3,0.0,0.0,0.0
7,0.625,0.655,0.833,1.432,1.91,2.292,0.0,0.0,0.625,0.655,0.833,1.432,1.91,2.292,0.0,0.0,0.625,0.655,0.833,1.432,1.91,2.292,0.0,0.0,0.625,0.655,0.833,1.432,1.91,2.292,0.0,0.0
8,0.858,0.999,1.06,1.374,0.949,0.554,0.0,0.0,0.86,1.0,1.059,1.377,0.953,0.527,0.0,0.0,0.885,1.013,1.04,1.416,1.008,0.199,0.0,0.0,0.878,1.011,1.045,1.405,0.991,0.291,0.0,0.0
9,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
