,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
0,11.077,4.481,2.721,9.398,3.359,1.909,2.428298615384615
1,9.091,3.6,1.975,7.398,2.494,1.236,1.6773283636363636
2,9.091,3.6,1.975,8.893,3.465,1.882,2.801295
3,9.091,3.6,2.215,7.398,2.494,1.403,1.6773283636363636
4,9.091,3.6,1.975,7.398,2.494,1.236,1.6773283636363636
5,9.0,3.92,4.5,8.54,3.543,4.071,3.361913333333333
6,7.0,4.167,6.0,6.43,3.614,5.43,3.319717142857143
7,9.091,4.133,3.265,7.595,3.053,2.292,2.1079577272727272
8,9.0,4.84,5.878,8.1,4.027,4.963,3.6243
9,4.0,3.0,4.0,3.92,2.92,4.007,2.8615999999999997
10,13.0,6.453,7.101,11.41,5.126,5.656,4.499050769230769
11,6.694,2.56,1.12,5.16,1.663,0.641,0.858108
12,13.959,5.413,2.276,12.235,4.384,1.748,2.8230652631578947
13,9.091,3.6,2.5,7.319,2.446,1.568,1.6274794545454547
14,8.1,2.939,1.55,7.902,2.811,1.466,2.2212522
15,7.111,3.24,2.0,5.82,2.307,1.288,1.49186
16,12.457,5.558,3.25,11.572,4.948,2.823,3.578641
17,19.326,8.393,6.094,16.401,6.425,4.498,4.581583695652173
18,6.125,2.52,1.488,4.967,1.738,0.92,1.07908075
19,18.05,8.444,5.379,16.644,7.393,4.585,6.1524545999999996
20,13.44,2.222,0.45,15.796,2.959,0.636,2.225731619047619
21,22.203,7.848,3.457,21.577,7.491,3.267,5.573562310344828
22,13.0,5.024,4.688,11.37,3.854,3.518,3.3707676923076924
23,17.355,6.63,4.26,16.048,5.812,3.656,4.441475047619047
24,7.639,3.164,1.6,6.16,2.235,1.026,1.2516
25,6.125,2.52,1.488,5.162,1.865,1.009,1.20339125
26,8.1,3.408,1.991,6.608,2.39,1.271,1.579312
27,12.457,5.104,3.03,10.419,3.809,2.133,2.4803731875
28,10.0,7.111,9.143,9.47,6.588,8.625,6.238836000000001
29,7.0,3.061,6.0,6.43,2.577,5.43,2.3671585714285714
30,7.111,3.24,1.704,5.948,2.396,1.134,1.5834897777777777
31,11.077,5.672,4.152,9.25,4.252,2.944,3.025461538461538
32,8.0,3.111,2.812,6.94,2.299,1.996,1.9943825
33,7.111,2.722,1.704,6.066,2.046,1.188,1.379004
34,9.0,3.92,4.5,7.9,3.032,3.48,2.6614222222222224
35,8.0,2.52,7.2,7.62,2.259,6.836,2.1516975
36,10.083,4.297,3.114,8.387,3.127,2.143,2.1855124166666666
