,EstateVSA0,EstateVSA1,EstateVSA10,EstateVSA2,EstateVSA3,EstateVSA4,EstateVSA5,EstateVSA6,EstateVSA7,EstateVSA8,EstateVSA9,LabuteASA,MRVSA0,MRVSA1,MRVSA2,MRVSA3,MRVSA4,MRVSA5,MRVSA6,MRVSA7,MRVSA8,MRVSA9,MTPSA,PEOEVSA0,PEOEVSA1,PEOEVSA10,PEOEVSA11,PEOEVSA12,PEOEVSA13,PEOEVSA2,PEOEVSA3,PEOEVSA4,PEOEVSA5,PEOEVSA6,PEOEVSA7,PEOEVSA8,PEOEVSA9,VSAEstate0,VSAEstate1,VSAEstate10,VSAEstate2,VSAEstate3,VSAEstate4,VSAEstate5,VSAEstate6,VSAEstate7,VSAEstate8,VSAEstate9,slogPVSA0,slogPVSA1,slogPVSA10,slogPVSA11,slogPVSA2,slogPVSA3,slogPVSA4,slogPVSA5,slogPVSA6,slogPVSA7,slogPVSA8,slogPVSA9
0,15.534,10.71,0.0,0.0,18.199,0.0,0.0,0.0,0.0,11.601,20.229,77.041,9.847,0.0,0.0,0.0,0.0,0.0,43.45,0.0,0.0,22.976,86.28,0.0,20.229,0.0,0.0,11.375,0.0,0.0,0.0,0.0,11.601,6.066,6.066,15.913,5.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.679,5.432,0.0,9.847,0.0,11.601,0.0,20.229,0.0,18.199,5.023,0.0,0.0,11.375
1,17.468,5.563,0.0,0.0,0.0,18.199,0.0,0.0,0.0,15.32,4.795,62.341,20.114,0.0,0.0,0.0,0.0,0.0,23.763,0.0,11.499,5.969,77.76,15.32,0.0,11.499,0.0,0.0,5.969,4.795,0.0,0.0,6.066,12.133,0.0,0.0,5.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.667,0.0,0.0,21.289,11.499,0.0,0.0,0.0,10.358,18.199,0.0,0.0,0.0,0.0
2,31.209,6.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.163,0.0,63.849,25.163,0.0,0.0,0.0,31.023,6.607,0.0,0.0,0.0,0.0,90.15,25.163,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.421,12.711,12.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.833,0.0,0.0,51.635,0.0,0.0,4.737,0.0,6.421,0.0,0.0,0.0,0.0,0.0
3,11.719,11.313,0.0,0.0,12.133,6.066,0.0,0.0,0.0,15.32,4.795,62.341,20.114,0.0,0.0,0.0,0.0,0.0,23.763,0.0,11.499,5.969,77.76,15.32,0.0,11.499,0.0,0.0,5.969,4.795,0.0,0.0,0.0,18.199,0.0,5.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.667,0.0,0.0,21.289,11.499,0.0,0.0,0.0,10.358,18.199,0.0,0.0,0.0,0.0
4,5.969,17.0,0.0,0.0,0.0,18.199,0.0,0.0,0.0,15.947,4.795,62.886,15.008,0.0,0.0,0.0,0.0,5.734,23.763,0.0,5.75,11.657,83.55,15.947,0.0,0.0,0.0,0.0,5.969,4.795,0.0,0.0,6.066,12.133,0.0,11.251,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.667,0.0,5.734,16.182,5.75,0.0,0.0,0.0,10.358,18.199,0.0,0.0,0.0,5.687
5,28.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.393,9.003,54.142,18.663,0.0,0.0,5.734,6.042,5.753,0.0,0.0,0.0,17.05,100.62,15.393,4.795,11.08,0.0,0.0,5.969,4.209,0.0,0.0,0.0,0.0,0.0,5.753,6.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.982,19.862,-2.122,5.734,31.632,0.0,0.0,15.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.969,6.421,0.0,12.966,0.0,0.0,0.0,0.0,0.0,10.84,4.795,42.13,9.901,0.0,0.0,5.734,12.842,6.545,0.0,0.0,0.0,5.969,63.32,10.84,4.795,0.0,0.0,0.0,5.969,0.0,0.0,0.0,0.0,12.966,6.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.167,0.0,5.734,17.621,0.0,0.0,4.795,0.0,12.842,0.0,0.0,0.0,0.0,0.0
7,5.969,12.17,0.0,5.563,0.0,12.133,12.133,0.0,0.0,10.213,4.795,63.911,15.008,0.0,0.0,0.0,6.421,0.0,29.829,0.0,5.75,5.969,57.53,10.213,4.795,0.0,0.0,0.0,5.969,0.0,0.0,0.0,12.133,17.696,0.0,6.421,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,16.182,5.75,0.0,11.215,0.0,5.563,24.265,0.0,0.0,0.0,0.0
8,5.969,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,9.589,52.656,14.696,0.0,0.0,5.734,12.842,6.545,0.0,0.0,0.0,11.753,80.39,10.84,9.589,0.0,0.0,0.0,5.969,0.0,0.0,0.0,0.0,0.0,6.421,12.966,5.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.833,0.0,5.734,23.404,0.0,0.0,9.589,0.0,12.842,0.0,0.0,0.0,0.0,0.0
9,0.0,13.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.213,0.0,24.693,10.213,0.0,0.0,0.0,0.0,13.214,0.0,0.0,0.0,0.0,40.46,10.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,23.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
