,MATSe1,MATSe2,MATSe3,MATSe4,MATSe5,MATSe6,MATSe7,MATSe8,MATSm1,MATSm2,MATSm3,MATSm4,MATSm5,MATSm6,MATSm7,MATSm8,MATSp1,MATSp2,MATSp3,MATSp4,MATSp5,MATSp6,MATSp7,MATSp8,MATSv1,MATSv2,MATSv3,MATSv4,MATSv5,MATSv6,MATSv7,MATSv8
0,0.424,0.117,-0.499,-0.643,-0.494,1.386,0.0,0.0,0.011,-0.087,-0.193,-0.093,-0.119,0.127,0.0,0.0,0.523,0.187,-0.343,-0.776,-0.191,0.349,0.0,0.0,0.56,0.189,-0.423,-0.828,-0.285,0.765,0.0,0.0
1,-0.0,0.021,-0.293,-0.293,0.375,0.0,0.0,0.0,-0.0,0.021,-0.293,-0.293,0.375,0.0,0.0,0.0,-0.0,0.021,-0.293,-0.293,0.375,0.0,0.0,0.0,-0.0,0.021,-0.293,-0.293,0.375,0.0,0.0,0.0
2,-0.167,-0.242,-0.071,-0.157,0.65,0.0,0.0,0.0,-0.167,-0.242,-0.071,-0.157,0.65,0.0,0.0,0.0,-0.167,-0.242,-0.071,-0.157,0.65,0.0,0.0,0.0,-0.167,-0.242,-0.071,-0.157,0.65,0.0,0.0,0.0
3,0.0,0.021,-0.242,-0.804,0.1,1.75,0.0,0.0,-0.0,0.021,-0.242,-0.804,0.1,1.75,0.0,0.0,-0.0,0.021,-0.242,-0.804,0.1,1.75,0.0,0.0,-0.0,0.021,-0.242,-0.804,0.1,1.75,0.0,0.0
4,-0.0,0.102,-0.29,-0.526,0.644,0.0,0.0,0.0,-0.0,0.1,-0.29,-0.52,0.638,0.0,0.0,0.0,-0.0,0.07,-0.294,-0.43,0.539,0.0,0.0,0.0,-0.0,0.08,-0.293,-0.46,0.572,0.0,0.0,0.0
5,-0.033,-0.04,-0.538,-0.669,1.12,0.0,0.0,0.0,-0.099,-0.076,-0.353,-0.021,0.002,0.0,0.0,0.0,-0.399,0.065,-0.11,-0.676,0.743,0.0,0.0,0.0,-0.215,-0.016,-0.314,-0.707,1.035,0.0,0.0,0.0
6,-0.109,0.14,-0.49,-0.871,0.444,0.0,0.0,0.0,-0.11,0.136,-0.494,-0.878,0.477,0.0,0.0,0.0,-0.119,0.069,-0.537,-0.955,0.909,0.0,0.0,0.0,-0.117,0.091,-0.525,-0.933,0.778,0.0,0.0,0.0
7,0.0,0.146,-0.125,-0.484,-0.771,-1.0,2.667,0.0,-0.0,0.146,-0.125,-0.484,-0.771,-1.0,2.667,0.0,-0.0,0.146,-0.125,-0.484,-0.771,-1.0,2.667,0.0,-0.0,0.146,-0.125,-0.484,-0.771,-1.0,2.667,0.0
8,-0.09,-0.086,-0.265,-0.574,0.225,0.296,0.0,0.0,-0.09,-0.088,-0.262,-0.577,0.217,0.327,0.0,0.0,-0.096,-0.117,-0.223,-0.616,0.091,0.752,0.0,0.0,-0.095,-0.108,-0.236,-0.605,0.133,0.619,0.0,0.0
9,-0.333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
