,ATSe1,ATSe2,ATSe3,ATSe4,ATSe5,ATSe6,ATSe7,ATSe8,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSm6,ATSm7,ATSm8,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSp6,ATSp7,ATSp8,ATSv1,ATSv2,ATSv3,ATSv4,ATSv5,ATSv6,ATSv7,ATSv8
0,2.818,3.136,3.147,2.991,2.634,2.434,0.0,0.0,2.918,3.275,3.356,3.265,2.772,2.77,0.0,0.0,2.363,2.654,2.594,2.157,1.554,1.083,0.0,0.0,2.381,2.664,2.608,2.196,1.642,1.122,0.0,0.0
1,2.588,2.93,2.981,2.696,1.971,0.0,0.0,0.0,2.59,2.932,2.984,2.7,1.976,0.0,0.0,0.0,2.284,2.479,2.332,1.722,0.843,0.0,0.0,0.0,2.307,2.512,2.386,1.809,0.935,0.0,0.0,0.0
2,2.636,2.981,3.04,2.724,2.03,0.0,0.0,0.0,2.639,2.984,3.044,2.729,2.036,0.0,0.0,0.0,2.166,2.332,2.225,1.677,0.73,0.0,0.0,0.0,2.205,2.386,2.291,1.768,0.832,0.0,0.0,0.0
3,2.588,2.93,2.911,2.424,2.141,1.509,0.0,0.0,2.59,2.932,2.914,2.427,2.145,1.515,0.0,0.0,2.284,2.479,2.287,1.645,1.021,0.346,0.0,0.0,2.307,2.512,2.338,1.72,1.118,0.421,0.0,0.0
4,2.576,2.912,2.944,2.653,1.971,0.0,0.0,0.0,2.577,2.914,2.947,2.658,1.976,0.0,0.0,0.0,2.301,2.508,2.388,1.778,0.843,0.0,0.0,0.0,2.325,2.542,2.443,1.868,0.935,0.0,0.0,0.0
5,2.375,2.655,2.461,2.261,2.085,0.0,0.0,0.0,2.81,2.765,2.723,2.631,2.092,0.0,0.0,0.0,2.039,1.964,1.802,1.38,0.602,0.0,0.0,0.0,1.934,1.953,1.723,1.348,0.717,0.0,0.0,0.0
6,2.056,2.149,1.76,1.572,1.406,0.0,0.0,0.0,2.058,2.152,1.763,1.575,1.413,0.0,0.0,0.0,1.711,1.556,1.262,0.93,0.45,0.0,0.0,0.0,1.744,1.606,1.313,1.0,0.537,0.0,0.0,0.0
7,2.564,2.837,2.588,2.364,2.156,1.606,1.509,0.0,2.565,2.839,2.59,2.367,2.159,1.609,1.515,0.0,2.338,2.487,2.284,1.836,1.452,0.86,0.346,0.0,2.355,2.51,2.307,1.881,1.517,0.93,0.421,0.0
8,2.317,2.504,2.27,1.966,2.121,1.406,0.0,0.0,2.319,2.507,2.274,1.969,2.126,1.413,0.0,0.0,1.944,1.895,1.663,1.383,1.081,0.45,0.0,0.0,1.978,1.946,1.72,1.442,1.176,0.537,0.0,0.0
9,1.538,1.296,1.016,0.0,0.0,0.0,0.0,0.0,1.54,1.299,1.021,0.0,0.0,0.0,0.0,0.0,1.068,0.647,0.188,0.0,0.0,0.0,0.0,0.0,1.106,0.705,0.233,0.0,0.0,0.0,0.0,0.0
10,2.705,3.005,2.826,2.82,2.939,2.567,1.971,0.0,2.708,3.009,2.829,2.823,2.944,2.572,1.976,0.0,2.254,2.287,2.248,2.226,1.969,1.433,0.843,0.0,2.297,2.354,2.299,2.281,2.056,1.522,0.935,0.0
11,2.598,2.909,2.718,2.253,0.0,0.0,0.0,0.0,2.603,2.915,2.724,2.26,0.0,0.0,0.0,0.0,2.155,2.426,2.146,1.619,0.0,0.0,0.0,0.0,2.225,2.493,2.231,1.711,0.0,0.0,0.0,0.0
12,3.228,3.629,3.722,3.536,3.295,3.154,2.878,2.203,3.232,3.633,3.727,3.541,3.299,3.159,2.884,2.209,2.742,3.085,2.99,2.874,2.645,2.477,2.079,1.316,2.804,3.146,3.071,2.945,2.712,2.546,2.168,1.417
13,2.646,3.022,2.722,2.577,2.398,1.459,0.0,0.0,2.651,3.029,2.728,2.583,2.405,1.465,0.0,0.0,2.046,2.189,1.895,1.672,1.308,0.399,0.0,0.0,2.128,2.285,1.991,1.77,1.429,0.481,0.0,0.0
14,2.562,2.929,3.049,2.329,1.016,0.0,0.0,0.0,2.564,2.932,3.054,2.334,1.021,0.0,0.0,0.0,2.045,2.23,1.976,1.093,0.188,0.0,0.0,0.0,2.088,2.289,2.066,1.2,0.233,0.0,0.0,0.0
15,2.366,2.596,2.426,1.989,1.296,0.0,0.0,0.0,2.367,2.598,2.427,1.992,1.299,0.0,0.0,0.0,2.187,2.314,2.056,1.34,0.647,0.0,0.0,0.0,2.2,2.331,2.085,1.398,0.705,0.0,0.0,0.0
16,2.984,3.322,3.062,2.82,2.695,2.516,2.577,2.555,3.136,3.484,3.286,2.996,2.921,2.639,2.859,2.56,2.782,3.021,2.797,2.593,2.399,2.226,2.093,1.699,2.74,2.972,2.756,2.535,2.358,2.199,2.084,1.786
17,3.367,3.788,3.669,3.616,3.439,3.263,3.223,3.48,3.636,3.865,3.828,3.783,3.543,3.405,3.528,3.485,2.998,3.215,3.255,3.068,2.831,2.717,2.801,2.544,2.958,3.192,3.166,2.964,2.789,2.692,2.744,2.605
18,2.267,2.51,2.404,1.296,0.0,0.0,0.0,0.0,2.268,2.512,2.407,1.299,0.0,0.0,0.0,0.0,2.068,2.177,1.796,0.647,0.0,0.0,0.0,0.0,2.082,2.202,1.842,0.705,0.0,0.0,0.0,0.0
19,3.181,3.502,3.605,3.446,3.391,3.299,3.079,2.823,3.314,3.779,3.814,3.551,3.598,3.677,3.351,3.163,2.85,3.107,3.054,2.921,2.884,2.707,2.538,2.282,2.853,3.098,3.083,2.943,2.874,2.699,2.506,2.23
20,3.367,4.138,4.562,4.202,3.046,1.472,0.0,0.0,3.825,4.762,5.613,5.558,4.452,2.182,0.0,0.0,3.327,4.096,4.476,4.073,2.853,0.754,0.0,0.0,3.239,3.971,4.25,3.763,2.529,0.705,0.0,0.0
21,3.545,4.014,4.168,4.152,4.087,3.86,3.653,3.42,3.546,4.015,4.169,4.153,4.088,3.861,3.655,3.423,3.41,3.847,4.007,3.939,3.74,3.522,3.272,2.986,3.42,3.858,4.019,3.954,3.767,3.546,3.302,3.014
22,2.727,3.145,3.082,3.218,3.016,2.085,0.0,0.0,2.73,3.149,3.085,3.222,3.022,2.092,0.0,0.0,2.217,2.371,2.298,2.114,1.498,0.602,0.0,0.0,2.26,2.433,2.365,2.218,1.638,0.717,0.0,0.0
23,3.288,3.785,3.703,3.571,3.594,3.506,3.159,2.784,3.576,3.827,3.747,3.678,3.739,3.628,3.297,3.094,2.846,3.048,2.996,2.885,2.925,2.63,2.354,2.239,2.813,3.075,3.025,2.884,2.872,2.654,2.262,2.109
24,2.638,2.948,2.812,2.301,1.732,0.845,0.0,0.0,2.639,2.95,2.813,2.302,1.734,0.847,0.0,0.0,2.43,2.641,2.507,1.997,1.363,0.375,0.0,0.0,2.445,2.661,2.53,2.02,1.392,0.413,0.0,0.0
25,2.233,2.456,2.301,1.202,0.0,0.0,0.0,0.0,2.233,2.457,2.302,1.204,0.0,0.0,0.0,0.0,2.135,2.293,1.997,0.898,0.0,0.0,0.0,0.0,2.141,2.305,2.02,0.921,0.0,0.0,0.0,0.0
