,AW,Arto,BertzCT,DZ,GMTI,Geto,Hato,Ipc,J,MZM1,MZM2,Platt,Pol,Qindex,Sito,Thara,Tigdi,Tsch,W,Xu,ZM1,ZM2,diametert,petitjeant,radiust
0,3.077,2.0,2.579,31.333,2.911,1.791,1.592,2.83,3.267,6.306,0.766,36,18.0,8.0,3.289,34.3,3.053,953.0,240.0,12.857,62,70,6.0,0.5,3.0
1,2.655,2.0,2.466,26.0,2.696,1.801,1.61,2.44,3.274,5.194,0.662,30,15.0,7.0,2.812,26.8,2.837,595.0,146.0,10.735,52,59,5.0,0.4,3.0
2,2.655,2.0,2.108,27.0,2.693,1.801,1.61,2.446,2.512,5.194,0.747,30,15.0,7.0,2.812,26.8,2.837,593.0,146.0,10.722,52,59,5.0,0.4,3.0
3,2.764,2.0,2.466,26.0,2.717,1.801,1.61,2.434,3.152,5.194,0.643,30,14.0,7.0,2.812,26.5,2.803,619.0,152.0,10.871,52,58,6.0,0.5,3.0
4,2.655,2.0,2.471,25.5,2.696,1.801,1.61,2.44,3.274,5.194,0.662,30,15.0,7.0,2.812,26.8,2.837,595.0,146.0,10.735,52,59,5.0,0.4,3.0
5,2.667,1.778,2.133,22.5,2.394,1.558,1.385,1.782,3.632,5.583,0.623,20,8.0,3.0,1.732,17.967,2.447,348.0,96.0,9.029,36,36,5.0,0.4,3.0
6,2.476,1.714,1.797,16.5,2.114,1.575,1.448,1.463,2.822,3.861,0.625,12,4.0,1.0,1.38,11.483,2.004,190.0,52.0,7.056,24,22,5.0,0.4,3.0
7,3.018,2.0,2.399,25.0,2.77,1.849,1.692,2.456,2.736,4.583,0.625,28,11.0,6.0,2.937,25.652,2.741,679.0,166.0,11.226,50,53,7.0,0.429,4.0
8,2.889,1.778,2.084,21.5,2.447,1.608,1.459,1.895,3.276,4.972,0.729,18,7.0,2.0,1.857,17.417,2.394,378.0,104.0,9.314,34,33,6.0,0.5,3.0
9,1.667,1.5,0.778,10.0,1.279,1.414,1.333,0.836,1.975,2.5,0.562,4,1.0,0.0,0.602,4.333,1.146,38.0,10.0,3.161,10,8,3.0,0.333,2.0
10,3.513,1.846,2.352,31.5,2.901,1.645,1.472,2.64,4.023,7.194,0.853,30,13.0,4.0,2.812,31.588,2.98,994.0,274.0,13.37,54,55,7.0,0.429,4.0
11,2.333,2.2,2.546,22.5,2.67,2.107,2.0,2.571,2.95,2.833,0.497,30,12.0,9.0,3.238,24.25,2.732,497.0,105.0,9.576,52,61,4.0,0.25,3.0
12,3.842,2.211,2.78,44.5,3.458,2.05,1.869,4.547,2.035,6.639,1.052,62,32.0,17.0,5.924,63.946,3.616,2862.0,657.0,18.383,104,128,9.0,0.444,5.0
13,2.855,2.0,2.353,27.0,2.728,1.801,1.61,2.445,2.534,5.194,0.623,30,11.0,7.0,2.812,26.15,2.779,636.0,157.0,10.99,52,57,6.0,0.5,3.0
14,2.422,2.0,2.011,25.0,2.566,1.783,1.579,2.235,2.516,4.944,0.6,28,14.0,7.0,2.511,23.367,2.723,452.0,109.0,9.586,48,55,5.0,0.4,3.0
15,2.444,2.0,2.308,20.0,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
16,4.167,2.125,2.474,36.0,3.309,1.993,1.846,3.763,1.703,5.556,0.83,46,18.0,11.0,4.794,45.376,3.253,2111.0,500.0,16.51,80,91,10.0,0.5,5.0
17,5.439,2.087,2.852,54.667,3.744,1.912,1.736,5.002,2.073,9.229,1.153,68,32.0,15.0,6.475,77.21,3.773,5648.0,1376.0,22.955,116,130,14.0,0.5,7.0
18,2.143,2.0,2.211,18.0,2.33,1.861,1.714,1.86,3.135,3.222,0.478,20,8.0,5.0,2.158,16.167,2.365,264.0,60.0,7.576,36,39,4.0,0.25,3.0
19,4.632,2.0,2.681,46.667,3.496,1.808,1.622,4.319,2.821,9.278,1.285,54,29.0,10.0,5.146,62.988,3.606,3426.0,880.0,19.953,94,106,11.0,0.455,6.0
20,2.876,2.381,2.8,46.333,3.429,1.909,1.546,4.588,2.085,11.674,0.797,114,72.0,43.0,5.896,89.683,4.034,2739.0,604.0,18.189,164,259,6.0,0.333,4.0
21,5.037,2.207,2.804,63.0,3.948,1.993,1.776,6.464,1.606,11.486,1.384,102,60.0,28.0,8.685,122.346,4.24,8716.0,2045.0,26.63,166,208,14.0,0.5,7.0
22,3.154,1.846,2.357,33.0,2.835,1.595,1.405,2.524,4.619,7.896,0.823,34,16.0,6.0,2.635,33.15,3.056,886.0,246.0,12.934,58,62,6.0,0.5,3.0
23,4.514,2.095,2.789,51.167,3.568,1.878,1.669,4.567,2.158,9.34,1.029,66,31.0,16.0,5.748,70.664,3.709,3869.0,948.0,20.567,110,127,11.0,0.455,6.0
24,2.618,2.182,2.632,24.0,2.805,2.097,2.0,2.688,2.935,3.083,0.54,32,14.0,9.0,3.539,27.633,2.831,664.0,144.0,10.797,56,64,6.0,0.5,3.0
25,2.143,2.0,2.205,17.0,2.33,1.861,1.714,1.86,3.135,3.222,0.478,20,8.0,5.0,2.158,16.167,2.365,264.0,60.0,7.576,36,39,4.0,0.25,3.0
26,2.533,2.0,2.406,23.0,2.598,1.835,1.667,2.261,3.153,4.333,0.601,26,12.0,6.0,2.635,22.9,2.682,474.0,114.0,9.788,46,51,5.0,0.4,3.0
27,3.633,2.125,2.785,36.0,3.242,1.958,1.778,3.584,2.613,6.167,0.809,48,23.0,12.0,4.669,47.683,3.332,1836.0,436.0,15.908,82,94,8.0,0.5,4.0
28,3.511,1.8,1.951,22.0,2.664,1.692,1.579,2.153,2.839,4.611,0.812,18,7.0,1.0,2.283,19.679,2.479,578.0,158.0,10.882,36,34,8.0,0.5,4.0
29,2.286,1.714,1.828,17.0,2.057,1.511,1.355,1.281,3.126,4.472,0.5,14,4.0,2.0,1.255,11.833,2.068,176.0,48.0,6.786,26,24,4.0,0.5,2.0
30,2.389,2.0,2.292,20.0,2.481,1.876,1.742,2.116,3.007,3.472,0.644,22,10.0,5.0,2.459,19.283,2.516,365.0,86.0,8.773,40,44,5.0,0.4,3.0
31,3.513,2.0,2.488,29.5,2.998,1.872,1.733,2.952,2.545,5.083,0.769,32,14.0,6.0,3.539,32.548,2.964,1107.0,274.0,13.468,58,62,8.0,0.5,4.0
32,2.321,1.75,2.014,20.0,2.19,1.51,1.333,1.595,3.827,5.333,0.58,18,8.0,3.0,1.431,15.167,2.322,236.0,65.0,7.705,32,33,4.0,0.5,2.0
33,2.417,2.0,2.188,21.5,2.471,1.817,1.636,2.116,2.481,4.083,0.519,24,8.0,6.0,2.334,19.317,2.502,366.0,87.0,8.764,42,46,5.0,0.4,3.0
34,2.667,1.778,2.11,23.0,2.394,1.558,1.385,1.782,3.632,5.583,0.623,20,8.0,3.0,1.732,17.967,2.447,348.0,96.0,9.029,36,36,5.0,0.4,3.0
