,SMILES,pki
0,Nc1ncnc2c1ncn2C1CCCC1,5.74473
1,Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,6.28432
2,O=C(NC1CC1)c1nc(NCc2cccnc2)nc2ccsc12,6.14874
3,Cc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1,6.69897
4,Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ncc4c3)c2n1,8.0655
5,CCCC1CCN(c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)C1,7.58503
6,N#Cc1c(-c2ccc(O)cc2)cc(-c2ccco2)nc1N,7.38722
7,CC(C)Cn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(C)c1=O,6.38934
8,Nc1nc2c(ncn2CC[NH+]2CCOCC2)c2nc(-c3ccco3)nn12,8.20066
9,CCc1nc(-c2ccco2)c2sccc2n1,7.52288
10,C=CCCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.84164
11,N#Cc1c(-c2cccs2)cc(-c2ccccc2)nc1N,7.26761
12,COCCOc1ccc(N2CC[NH+](CCSc3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,8.82391
13,COc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,7.24413
14,Cc1ccc2c(O)c(C(=O)NCCC(C)C)cnc2n1,6.01924
15,Cc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C,7.72125
16,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1C2,7.95078
17,C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,7.01773
18,CCN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1,8.52288
19,CC1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.56864
20,CCCn1c(=O)c2[nH]c(-c3ccc(N)cc3)cc2n(CCC)c1=O,6.79048
21,Nc1nc(-c2ccco2)c2cnn(CC3CCCCC3)c2n1,7.34679
22,Nc1nc(-c2ccco2)c2cnn(Cc3ccco3)c2n1,7.4437
23,Cc1ccc2c(O)c(Cc3ccccc3)cnc2n1,5.47756
24,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3cccs3)c2n1,9.0
25,COCC1CCCN1c1cc(NC(=O)CC(C)C)nc(-n2nc(C)cc2C)n1,7.30103
26,N#Cc1c(-c2ccccc2)cc(-c2ccc[nH]2)nc1N,6.19382
27,Cn1c(=O)c2[nH]c(-c3cccc(OCC[NH+]4CCCCC4)c3)nc2n(C)c1=O,6.09691
28,Cc1ccc2c(O)c(C(=O)NCc3ccc(F)cc3)cnc2n1,6.819135
29,CCCn1c(=O)c2c(nc(C3CCCC3)n2C)n(CCC)c1=O,6.65758
30,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)[nH]c2n(C)c1=O,7.48678
31,Cn1c(=O)c2[nH]c3cccnc3c2n(C)c1=O,6.04915
32,CCN(CCc1ccccn1)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.39794
33,CCCn1c(=O)c2c(cc(-c3ccc(O)cc3)n2O)n(CCC)c1=O,6.9914
34,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC[NH+]1CCOCC1,7.0
35,CCCn1c(=O)c2c(cc(-c3ccc(N)cc3)n2O)n(CCC)c1=O,6.61979
36,Cn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(C)c1=O,5.45593
