,SMILES,pki
0,O=C(c1ccncc1)c1nc(NCc2cccnc2)nc2ccsc12,5.71175
1,CC[NH+](CC)CCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OC,5.95861
2,CCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12,6.50864
3,CN(C)c1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,7.63827
4,Nc1nc(-c2ccco2)c2ncn(CCc3ccccc3)c2n1,6.56783
5,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccccc4)cc3)cc2n(C)c1=O,7.45967
6,N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1ccccc1,7.55284
7,Nc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.04576
8,COCCNc1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,6.70997
9,OCC1CCCN1c1nc(-c2nccs2)c2sccc2n1,8.49827
10,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2ccccc2F)o1,8.67778
11,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4cccs4)cc3)cc2n(C)c1=O,7.82102
12,CCCn1c(=O)c2nc(-c3cnn(Cc4ccccc4OC)c3)[nH]c2n(CCC)c1=O,6.85387
13,COc1ccc(-c2cc3nn(Cc4ccccc4)c(=O)n3c(N)n2)cc1,6.19654
14,CN(C)c1nc(-c2ccoc2)c2sccc2n1,6.1261
15,Cn1c(=O)c2[nH]c(-c3cccc(OCC[NH+]4CCCC4)c3)nc2n(C)c1=O,6.39794
16,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12,7.24413
17,Nc1nc2c(cnn2CCc2ccc(-c3cnccn3)cc2)c2nc(-c3ccco3)nn12,9.04576
18,CCc1nc(-n2nccn2)c2sccc2n1,6.10846
19,Cc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,8.22185
20,CCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.45593
21,CCCOc1cnc2c(c1)[nH]c1c(=O)n(CCC)c(=O)n(CCC)c12,5.83268
22,Nc1c(C(=O)Nc2ccc(Cl)cc2)sc2ncccc12,5.16115
23,CCCn1ccnc1CNC(=O)c1cc(-c2ccc(C)o2)nc(N)n1,8.22185
24,Nc1nc(-c2cncs2)c2ncn(C(=O)NCc3ccccc3)c2n1,7.25181
25,CCc1c(C(=O)NCc2ccccn2)nc(N)nc1-c1ccc(C)o1,7.60206
26,CS(=O)(=O)c1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,6.10846
27,O=C(c1cccs1)c1nc(NCCCO)nc2ccsc12,8.09151
28,CCc1nc(-c2ccccn2)c2sccc2n1,7.88606
29,Nc1nc(-c2cccs2)c2cnn(Cc3ccccc3F)c2n1,8.04576
30,Cc1ccc2c(O)cc(-c3cccc(N)c3)nc2n1,6.262165
31,Nc1nc2c(cnn2CC[NH+]2CCN(c3ccccc3)CC2)c2nc(-c3ccco3)nn12,8.79588
32,CCc1nc(-c2ncc[nH]2)c2sccc2n1,6.84771
33,COc1cc(C(=O)NCc2ccccn2)nc(N)n1,5.4828
34,Nc1nc2c(ncn2CCc2ccccc2)c2nc(-c3ccco3)nn12,8.38722
35,Nc1ncnc2c1ncn2CC(O)CO,5.07058
36,Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.0
37,CCCCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.79588
38,CCc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,9.0
39,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1,7.11919
40,Nc1nc(-c2ccco2)c2cc[nH]c2n1,6.61618
41,C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,6.79317
42,CC(=O)N(C(C)=O)c1ccc(CNC(=O)c2cnc3nc(C)ccc3c2O)cc1,5.7841
43,COc1ccc(-c2cc(-c3ccco3)nc(N)c2C#N)cc1,7.38722
44,CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.70997
45,CC(C)CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,9.10791
46,Nc1nc(-c2ncco2)c2nnn(Cc3ccccc3F)c2n1,7.38722
47,CCCn1c(=O)c2nc(C34CCC(O)(CC3)CC4)[nH]c2n(CCC)c1=O,6.25964
48,Cc1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1,8.61979
49,CCNc1nc(-c2cccs2)c2sccc2n1,6.81248
50,CCCCc1nc2[nH]cnc2c2nc(-c3cccnc3)nn12,6.04576
51,Cc1ccc2c(O)c(C(=O)NCc3ccc(NC(=O)c4ccccc4)cc3)cnc2n1,6.23062
52,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC[NH+]1CCOCC1,4.0
53,COc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OCC[NH+]1CCCCC1,5.56864
54,N#Cc1c(-c2ccco2)cc(-c2ccco2)nc1N,9.0
55,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.38722
56,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(Cl)c3)c2n1,8.63827
57,Nc1nc(C(=O)NCc2ccccn2)nc(-c2ccco2)n1,7.60206
58,Nc1nc(-c2ccco2)c2nnn(Cc3ccccn3)c2n1,7.92082
59,Cc1cc(C)nc(CNC(=O)c2cc(-c3ccc(C)o3)nc(N)n2)c1,8.02228
60,Cc1ccc2c(O)c(CC(=O)NC3CCCCC3)cnc2n1,5.1463
61,Cc1ccc(-c2cc(C(=O)NCc3ccccn3)ncn2)o1,7.01323
62,Nc1nc(-c2ccco2)c2ncn(Cc3cccc(Cl)c3)c2n1,8.09691
63,Cc1cc(C)nc(NC(=[NH2+])NCCc2c[nH]c3ccc(F)cc23)n1,6.69897
64,COc1cccc(Cn2c(=O)n(Cc3ccccc3OC)c3cnc(NC4CC4)nc32)c1,5.0356
65,CCCn1c(=O)c2nc(-c3cn[nH]c3)[nH]c2n(CCC)c1=O,6.63827
66,Cc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,7.411955
67,Oc1nc2ccc(Cl)cc2n2nc(-c3ccco3)nc12,5.28735
68,Nc1nc(C(=O)c2cccs2)c2sccc2n1,7.63827
69,Nc1ncnc2c1ncn2Cc1ccccc1,5.07058
70,Nc1nc(-c2ccco2)c2ccn(Cc3ccccc3F)c2n1,7.79588
71,N#Cc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,7.72125
72,CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,8.37675
73,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1C2O,6.77392
74,Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1,6.45469
